pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
569.277994,322.948387,496.563851,369.603309,507.026850,308.932715,501.268500,371.442209,549.529796,334.090213,494.462999,277.920711,445.624537,296.215843
569.277994,323.658112,497.063851,369.657010,508.973150,308.432715,501.268500,371.442209,549.529796,334.590213,495.593866,277.289844,446.755404,296.215843
569.277994,324.367837,497.037001,368.710710,510.419450,307.932715,501.268500,371.442209,549.529796,335.063363,497.355599,276.789844,448.017137,296.215843
569.277994,324.867837,497.037001,367.237560,512.365750,306.959565,501.268500,370.469059,549.529796,335.036513,498.986465,275.289844,449.409737,295.584976
569.777994,324.867837,497.537001,365.291260,513.758350,306.013265,501.268500,369.495909,549.529796,335.509663,500.748199,274.028111,451.171470,294.823243
569.277994,325.577562,497.537001,363.844960,515.124099,304.674366,501.268500,368.603309,549.529796,335.982813,502.509932,272.766378,452.802337,293.692376
569.777994,326.577562,497.510151,362.059760,517.016699,303.254916,500.768500,366.657010,549.529796,335.982813,503.664265,271.242912,453.825803,291.930643
569.697444,326.997012,498.010151,358.694010,519.909299,300.416016,500.822201,364.818110,549.529796,335.982813,505.556865,268.219445,455.718403,290.038043
569.697444,327.706737,498.902751,354.962511,522.328749,297.050266,500.795351,361.506060,549.529796,335.982813,507.580331,265.957712,457.741869,288.145443
569.697444,328.416462,500.295351,350.257861,525.560248,294.265067,501.741650,357.720860,549.529796,335.982813,509.842064,262.803379,460.003603,285.621977
569.697444,328.626187,502.268500,346.472662,530.318598,290.979867,502.687950,354.016211,550.029796,335.482813,514.496397,259.518179,462.657936,283.098510
569.697444,329.335912,504.161100,341.160612,534.576948,288.140967,504.134250,348.784711,550.502946,335.036513,518.543330,256.494713,466.943135,280.575044
569.697444,330.045637,507.000000,336.455963,538.808447,285.302068,506.973150,344.080062,550.502946,334.617063,522.328530,253.840380,471.859202,277.813311
569.697444,330.545637,510.838900,331.251313,544.486246,281.963168,509.785200,338.848562,550.502946,334.117063,528.244596,251.186047,477.144401,275.920711
569.697444,331.045637,515.570399,324.519814,550.664046,279.097418,513.597249,333.143913,551.002946,333.117063,533.922395,248.531714,483.322201,273.397245
569.697444,332.045637,520.275049,319.234614,555.314995,276.312219,518.248199,327.492964,551.449246,332.143913,538.469328,245.246514,490.000000,270.373778
569.697444,332.045637,526.372298,314.056815,561.492795,273.027019,523.925998,322.342014,552.422395,330.197613,545.147128,241.592181,495.939533,266.588579
569.697444,332.045637,532.076948,308.325315,568.536344,268.214969,529.630648,316.610515,552.922395,329.697613,552.086660,237.437848,503.117332,264.065112
569.697444,332.045637,538.647347,303.201216,576.499343,263.483470,536.281597,310.905865,552.922395,329.697613,559.787926,233.152649,510.818598,260.149046
569.697444,332.045637,547.164046,296.050266,583.623442,259.305670,544.351996,303.808616,552.922395,329.697613,567.727459,227.974849,518.519864,256.340380
570.197444,332.045637,558.492795,291.453017,593.113291,253.654721,555.207595,298.603966,553.922395,330.197613,577.583058,222.058783,527.221130,251.293447
570.197444,332.045637,572.106743,287.855768,602.968890,248.423221,568.928944,294.399317,563.724294,328.412413,587.415190,216.880983,538.338462,246.615648
570.197444,332.045637,588.881792,280.731668,613.351339,242.772272,585.042892,287.248368,573.187293,325.573514,598.270789,211.703184,549.848394,241.568715
570.197444,332.045637,601.656841,275.000169,624.206938,237.121323,598.237391,281.516868,584.069742,320.368864,609.626388,207.525385,561.073126,236.260049
570.197444,332.045637,608.700390,270.688119,635.143087,230.970373,604.834640,276.731668,587.328092,315.137365,619.981987,200.454985,571.774392,228.582249
570.697444,328.497012,614.378189,265.902920,641.659786,225.346274,610.012440,272.053869,589.220692,309.459565,627.921520,195.908053,578.975658,222.797050
573.197444,325.158112,617.190239,262.590870,646.391286,222.507374,612.851339,268.741819,591.586441,306.147516,632.468452,193.253720,582.522590,220.511850
573.697444,323.528937,617.636539,260.698270,648.783886,221.034224,613.324489,266.822369,592.532741,304.281766,635.491919,191.991986,584.784324,218.750117
573.616894,322.819212,617.217089,259.359370,649.203335,220.534224,612.824489,265.483470,592.532741,303.281766,635.991919,191.491986,585.938657,217.857517
574.116894,322.819212,615.770789,258.413070,648.703335,220.561074,611.405039,264.537170,592.532741,302.781766,635.491919,191.491986,585.807790,217.857517
574.616894,323.738662,613.878189,256.993621,648.257036,220.561074,610.039290,263.590870,592.113291,302.808616,635.361052,191.491986,585.807790,217.988384
574.746069,324.238662,612.485589,256.047321,648.283886,220.061074,608.619840,262.617720,592.113291,302.835466,635.361052,191.491986,585.176923,217.488384
574.536344,322.738662,611.119840,255.127871,647.810736,219.561074,607.227240,262.198270,591.166992,301.916016,634.730186,190.861120,585.176923,216.857517
