"Sweep","GRF0SumVN","GRF0SumMLN","GRF0SumHzN"
23259,0.0296630078921079,0.0335771055944056,-0.0226195679320679
23260,0.0289527078921079,0.0322400055944056,-0.0210570679320679
23261,0.0275321078921079,0.0322400055944056,-0.0148070679320679
23262,0.0246909078921079,0.0295658055944056,-0.0116820679320679
23263,0.0239806078921079,0.0268916055944056,-0.00855706793206793
23264,0.0239806078921079,0.0255545055944056,-0.000744567932067932
23265,0.0204291078921079,0.0215432055944056,0.00238043206793207
23266,0.0182982078921079,0.0188690055944056,0.00550543206793207
23267,0.0168776078921079,0.0148577055944056,0.0101929320679321
23268,0.0161673078921079,0.0081722055944056,0.0117554320679321
23269,0.0161673078921079,0.00683510559440559,0.0164429320679321
23270,0.0147467078921079,0.00549800559440559,0.0211304320679321
23271,0.0161673078921079,0.00148670559440559,0.0258179320679321
23272,0.0133261078921079,-0.00252459440559441,0.0164429320679321
23273,0.0140364078921079,-0.00118749440559441,0.0164429320679321
23274,0.0140364078921079,-0.00118749440559441,0.0211304320679321
23275,0.0140364078921079,-0.00386169440559441,0.0211304320679321
23276,0.0126158078921079,-0.00118749440559441,0.0226929320679321
23277,0.0111952078921079,-0.00386169440559441,0.0195679320679321
23278,0.00977460789210789,0.000149605594405591,0.0195679320679321
23279,0.0090643078921079,0.00148670559440559,0.0164429320679321
23280,0.0083540078921079,0.00416090559440559,0.0148804320679321
23281,0.0090643078921079,0.00549800559440559,0.0101929320679321
23282,0.0111952078921079,0.0108464055944056,0.00550543206793207
23283,0.0133261078921079,0.0148577055944056,0.000817932067932067
23284,0.0161673078921079,0.0202061055944056,-0.000744567932067932
23285,0.0168776078921079,0.0228803055944056,-0.00699456793206793
23286,0.0190085078921079,0.0255545055944056,-0.0148070679320679
23287,0.0211394078921079,0.0268916055944056,-0.0163695679320679
23288,0.0246909078921079,0.0282287055944056,-0.0226195679320679
23289,0.0268218078921079,0.0295658055944056,-0.0273070679320679
23290,0.0268218078921079,0.0282287055944056,-0.0273070679320679
23291,0.0246909078921079,0.0255545055944056,-0.0273070679320679
23292,0.0225600078921079,0.0202061055944056,-0.0226195679320679
23293,0.0133261078921079,0.0121835055944056,-0.0163695679320679
23294,0.00551280789210789,0.000149605594405591,-0.00543206793206793
23295,-0.0101137921078921,-0.0132213944055944,0.00863043206793207
23296,-0.0193476921078921,-0.0185697944055944,0.0180054320679321
23297,-0.0257403921078921,-0.0279294944055944,0.0273804320679321
23298,-0.0321330921078921,-0.0292665944055944,0.0305054320679321
23299,-0.0363948921078921,-0.0332778944055944,0.0336304320679321
23300,-0.0363948921078921,-0.0319407944055944,0.0289429320679321
23301,-0.0378154921078921,-0.0306036944055944,0.0273804320679321
23302,-0.0378154921078921,-0.0292665944055944,0.0273804320679321
23303,-0.0378154921078921,-0.0279294944055944,0.0226929320679321
23304,-0.0363948921078921,-0.0225810944055944,0.0180054320679321
23305,-0.0349742921078921,-0.0185697944055944,0.0117554320679321
23306,-0.0321330921078921,-0.0145584944055944,0.00394293206793207
23307,-0.0307124921078921,-0.0105471944055944,0.000817932067932067
23308,-0.0285815921078921,-0.0078729944055944,-0.00386956793206793
