"Sweep","GRF0SumVN","GRF0SumMLN","GRF0SumHzN"
25536,0.0352805814185814,-0.0185373244755245,-0.00408233356643357
25537,0.0359729814185814,-0.0198736244755245,-0.00408233356643357
25538,0.0352805814185814,-0.0225462244755245,-0.00254203356643357
25539,0.0352805814185814,-0.0265551244755245,0.00361916643356643
25540,0.0304337814185814,-0.0278914244755245,0.00515946643356643
25541,0.0297413814185814,-0.0292277244755245,0.00824006643356643
25542,0.0297413814185814,-0.0332366244755245,0.0113206664335664
25543,0.0290489814185814,-0.0332366244755245,0.0144012664335664
25544,0.0255869814185814,-0.0372455244755245,0.0159415664335664
25545,0.0242021814185814,-0.0412544244755245,0.0205624664335664
25546,0.0242021814185814,-0.0412544244755245,0.0236430664335664
25547,0.0214325814185814,-0.0425907244755245,0.0251833664335664
25548,0.0235097814185814,-0.0399181244755245,0.0251833664335664
25549,0.0242021814185814,-0.0359092244755245,0.0221027664335664
25550,0.0318185814185814,-0.0305640244755245,0.0159415664335664
25551,0.0387425814185814,-0.0225462244755245,0.00515946643356643
25552,0.0463589814185814,-0.0118558244755245,-0.00562263356643357
25553,0.0553601814185814,-0.00116542447552448,-0.0179450335664336
25554,0.0643613814185814,0.00685237552447552,-0.0225659335664336
25555,0.0712853814185814,0.0121975755244755,-0.0318077335664336
25556,0.0761321814185814,0.0162064755244755,-0.0348883335664336
25557,0.0754397814185814,0.0175427755244755,-0.0364286335664336
25558,0.0789017814185814,0.0175427755244755,-0.0379689335664336
25559,0.0789017814185814,0.0175427755244755,-0.0348883335664336
25560,0.0782093814185814,0.0121975755244755,-0.0302674335664336
25561,0.0782093814185814,0.0108612755244755,-0.0302674335664336
25562,0.0789017814185814,0.00952497552447553,-0.0256465335664336
25563,0.0782093814185814,0.00818867552447552,-0.0179450335664336
25564,0.0775169814185814,0.00284347552447552,-0.0117838335664336
25565,0.0761321814185814,0.00417977552447552,-0.00870323356643357
25566,0.0726701814185814,0.000170875524475525,-0.00254203356643357
25567,0.0692081814185814,-0.00250172447552448,-0.00100173356643357
25568,0.0685157814185814,-0.00651062447552448,-0.00100173356643357
25569,0.0671309814185814,-0.00784692447552448,0.000538566433566433
25570,0.0643613814185814,-0.00918322447552448,0.00207886643356643
25571,0.0643613814185814,-0.00918322447552448,0.00361916643356643
25572,0.0629765814185814,-0.00784692447552448,0.00361916643356643
25573,0.0629765814185814,-0.00918322447552448,0.00207886643356643
25574,0.0643613814185814,-0.00918322447552448,0.000538566433566433
25575,0.0636689814185814,-0.00784692447552448,0.000538566433566433
25576,0.0629765814185814,-0.00651062447552448,-0.00254203356643357
