"Sweep","GRF0SumVN","GRF0SumMLN","GRF0SumHzN"
19453,0.0372301744255744,0.0110714817182817,0.019384979020979
19454,0.0372301744255744,0.0110714817182817,0.016475779020979
19455,0.0358345744255744,0.00841188171828172,0.017930379020979
19456,0.0316477744255744,0.00309268171828172,0.017930379020979
19457,0.0281587744255744,-0.00355631828171828,0.013566579020979
19458,0.0260653744255744,-0.00754571828171829,0.013566579020979
19459,0.0218785744255744,-0.0102053182817183,0.013566579020979
19460,0.0190873744255744,-0.0128649182817183,0.012111979020979
19461,0.0149005744255744,-0.0181841182817183,0.012111979020979
19462,0.0121093744255744,-0.0221735182817183,0.015021179020979
19463,0.0072247744255744,-0.0248331182817183,0.017930379020979
19464,0.00373577442557443,-0.0274927182817183,0.020839579020979
19465,0.00164237442557441,-0.0288225182817183,0.022294179020979
19466,0.00164237442557441,-0.0328119182817183,0.025203379020979
19467,0.00164237442557441,-0.0314821182817183,0.029567179020979
19468,0.00164237442557441,-0.0301523182817183,0.033930979020979
19469,0.00164237442557441,-0.0314821182817183,0.035385579020979
19470,0.00373577442557443,-0.0301523182817183,0.036840179020979
19471,0.0058291744255744,-0.0274927182817183,0.036840179020979
19472,0.0100159744255744,-0.0221735182817183,0.033930979020979
19473,0.0197851744255744,-0.0181841182817183,0.029567179020979
19474,0.0288565744255744,-0.00887551828171828,0.017930379020979
19475,0.0386257744255744,0.00442248171828172,0.00920277902097902
19476,0.0469993744255744,0.0163906817182817,-0.00388862097902098
19477,0.0546751744255744,0.0270290817182817,-0.012616220979021
19478,0.0581641744255744,0.0323482817182817,-0.018434620979021
19479,0.0574663744255744,0.0389972817182817,-0.022798420979021
19480,0.0567685744255744,0.0416568817182817,-0.024253020979021
19481,0.0546751744255744,0.0416568817182817,-0.022798420979021
19482,0.0511861744255744,0.0376674817182817,-0.022798420979021
19483,0.0476971744255744,0.0323482817182817,-0.021343820979021
19484,0.0428125744255744,0.0283588817182817,-0.022798420979021
19485,0.0379279744255744,0.0230396817182817,-0.019889220979021
19486,0.0358345744255744,0.0163906817182817,-0.016980020979021
19487,0.0330433744255744,0.00974168171828172,-0.014070820979021
19488,0.0309499744255744,0.00442248171828172,-0.012616220979021
19489,0.0323455744255744,-0.000896718281718278,-0.00825242097902098
19490,0.0309499744255744,-0.000896718281718278,-0.00825242097902098
19491,0.0309499744255744,-0.000896718281718278,-0.00534322097902098
19492,0.0337411744255744,0.00176288171828172,-0.00243402097902098
19493,0.0372301744255744,0.00176288171828172,-0.000979420979020977
19494,0.0386257744255744,0.00442248171828172,-0.000979420979020977
19495,0.0414169744255744,0.00708208171828172,0.00192977902097902
19496,0.0435103744255744,0.00708208171828172,0.00483897902097902
19497,0.0456037744255744,0.00841188171828172,0.00338437902097902
19498,0.0442081744255744,0.00841188171828172,0.00483897902097902
19499,0.0442081744255744,0.00841188171828172,0.00483897902097902
19500,0.0442081744255744,0.00708208171828172,0.00629357902097902
19501,0.0428125744255744,0.00176288171828172,0.00774817902097902
19502,0.0414169744255744,0.00309268171828172,0.00483897902097902
19503,0.0400213744255744,0.00575228171828172,0.00338437902097902
19504,0.0393235744255744,0.00841188171828172,0.00192977902097902
19505,0.0386257744255744,0.0110714817182817,-0.000979420979020977
19506,0.0379279744255744,0.0124012817182817,-0.00970702097902097
19507,0.0393235744255744,0.0177204817182817,-0.014070820979021
19508,0.0379279744255744,0.0217098817182817,-0.018434620979021
19509,0.0400213744255744,0.0243694817182817,-0.022798420979021
19510,0.0421147744255744,0.0270290817182817,-0.022798420979021
19511,0.0476971744255744,0.0336780817182817,-0.025707620979021
19512,0.0476971744255744,0.0310184817182817,-0.028616820979021
19513,0.0490927744255744,0.0270290817182817,-0.027162220979021
19514,0.0476971744255744,0.0217098817182817,-0.021343820979021
19515,0.0463015744255744,0.0163906817182817,-0.015525420979021
19516,0.0407191744255744,0.00575228171828172,-0.000979420979020977
19517,0.0323455744255744,-0.00222651828171828,0.010657379020979
19518,0.0274609744255744,-0.0102053182817183,0.020839579020979
19519,0.0204829744255744,-0.0168543182817183,0.031021779020979
19520,0.0162961744255744,-0.0208437182817183,0.038294779020979
19521,0.0142027744255744,-0.0221735182817183,0.042658579020979
19522,0.0135049744255744,-0.0208437182817183,0.045567779020979
19523,0.0142027744255744,-0.0221735182817183,0.044113179020979
19524,0.0135049744255744,-0.0208437182817183,0.042658579020979
19525,0.0121093744255744,-0.0195139182817183,0.044113179020979
19526,0.0107137744255744,-0.0221735182817183,0.039749379020979
19527,0.0114115744255744,-0.0221735182817183,0.039749379020979
19528,0.0128071744255744,-0.0221735182817183,0.033930979020979
19529,0.0121093744255744,-0.0221735182817183,0.031021779020979
19530,0.0142027744255744,-0.0221735182817183,0.029567179020979
19531,0.0135049744255744,-0.0208437182817183,0.025203379020979
19532,0.0149005744255744,-0.0208437182817183,0.022294179020979
19533,0.0176917744255744,-0.0141947182817183,0.019384979020979
19534,0.0176917744255744,-0.00887551828171828,0.019384979020979
19535,0.0204829744255744,-0.00621591828171829,0.015021179020979
19536,0.0246697744255744,-0.00222651828171828,0.016475779020979
19537,0.0267631744255744,0.000433081718281714,0.015021179020979
19538,0.0295543744255744,0.000433081718281714,0.016475779020979
19539,0.0330433744255744,0.00309268171828172,0.019384979020979
19540,0.0365323744255744,0.00309268171828172,0.016475779020979
19541,0.0393235744255744,0.00309268171828172,0.015021179020979
19542,0.0414169744255744,0.00442248171828172,0.015021179020979
19543,0.0400213744255744,0.00309268171828172,0.016475779020979
19544,0.0400213744255744,0.000433081718281714,0.017930379020979
19545,0.0379279744255744,0.000433081718281714,0.017930379020979
19546,0.0351367744255744,-0.00222651828171828,0.022294179020979
19547,0.0309499744255744,-0.00621591828171829,0.026657979020979
19548,0.0246697744255744,-0.00887551828171828,0.029567179020979
19549,0.0204829744255744,-0.0115351182817183,0.031021779020979
19550,0.0149005744255744,-0.0181841182817183,0.033930979020979
19551,0.0121093744255744,-0.0195139182817183,0.039749379020979
19552,0.0051313744255744,-0.0235033182817183,0.041203979020979
19553,0.000944574425574413,-0.0248331182817183,0.042658579020979
19554,-0.000451025574425584,-0.0274927182817183,0.044113179020979
19555,-0.000451025574425584,-0.0261629182817183,0.042658579020979
19556,0.00373577442557443,-0.0208437182817183,0.035385579020979
19557,0.0100159744255744,-0.0168543182817183,0.022294179020979
19558,0.0204829744255744,-0.00488611828171828,0.012111979020979
19559,0.0316477744255744,0.00575228171828172,0.000475179020979023
19560,0.0449059744255744,0.0124012817182817,-0.00970702097902097
19561,0.0511861744255744,0.0243694817182817,-0.016980020979021
19562,0.0581641744255744,0.0310184817182817,-0.022798420979021
19563,0.0644443744255744,0.0336780817182817,-0.022798420979021
19564,0.0630487744255744,0.0363376817182817,-0.024253020979021
19565,0.0665377744255744,0.0403270817182817,-0.024253020979021
19566,0.0672355744255744,0.0403270817182817,-0.024253020979021
19567,0.0658399744255744,0.0416568817182817,-0.022798420979021
19568,0.0623509744255744,0.0389972817182817,-0.018434620979021
19569,0.0602575744255744,0.0363376817182817,-0.015525420979021
19570,0.0532795744255744,0.0310184817182817,-0.012616220979021
19571,0.0483949744255744,0.0256992817182817,-0.00825242097902098
19572,0.0421147744255744,0.0190502817182817,-0.00534322097902098
19573,0.0372301744255744,0.0163906817182817,-0.00243402097902098
19574,0.0323455744255744,0.0163906817182817,-0.000979420979020977
19575,0.0295543744255744,0.0110714817182817,-0.00388862097902098
19576,0.0246697744255744,0.0124012817182817,-0.000979420979020977
19577,0.0232741744255744,0.0124012817182817,0.000475179020979023
19578,0.0225763744255744,0.0110714817182817,0.000475179020979023
19579,0.0204829744255744,0.0124012817182817,0.00338437902097902
19580,0.0204829744255744,0.0137310817182817,0.00483897902097902
19581,0.0225763744255744,0.0137310817182817,0.00338437902097902
19582,0.0246697744255744,0.0124012817182817,0.00338437902097902
19583,0.0281587744255744,0.0124012817182817,0.00338437902097902
19584,0.0302521744255744,0.0137310817182817,0.00483897902097902
19585,0.0330433744255744,0.0137310817182817,0.00629357902097902
19586,0.0365323744255744,0.0137310817182817,0.00338437902097902
19587,0.0386257744255744,0.0163906817182817,0.000475179020979023
19588,0.0421147744255744,0.0217098817182817,-0.00388862097902098
19589,0.0476971744255744,0.0256992817182817,-0.00825242097902098
19590,0.0497905744255744,0.0256992817182817,-0.011161620979021
19591,0.0504883744255744,0.0296886817182817,-0.014070820979021
19592,0.0532795744255744,0.0336780817182817,-0.019889220979021
19593,0.0532795744255744,0.0363376817182817,-0.021343820979021
19594,0.0525817744255744,0.0389972817182817,-0.022798420979021
19595,0.0518839744255744,0.0403270817182817,-0.025707620979021
19596,0.0469993744255744,0.0376674817182817,-0.022798420979021
19597,0.0414169744255744,0.0350078817182817,-0.022798420979021
19598,0.0316477744255744,0.0270290817182817,-0.012616220979021
19599,0.0225763744255744,0.0163906817182817,-0.00388862097902098
19600,0.0114115744255744,0.00309268171828172,0.00920277902097902
19601,-0.000451025574425584,-0.0115351182817183,0.023748779020979
19602,-0.00882462557442559,-0.0181841182817183,0.035385579020979
19603,-0.0151048255744256,-0.0248331182817183,0.038294779020979
19604,-0.0185938255744256,-0.0261629182817183,0.044113179020979
19605,-0.0171982255744256,-0.0248331182817183,0.045567779020979
19606,-0.0178960255744256,-0.0208437182817183,0.049931579020979
19607,-0.0137092255744256,-0.0155245182817183,0.048476979020979
19608,-0.0130114255744256,-0.0115351182817183,0.048476979020979
19609,-0.00603342557442557,-0.00754571828171829,0.045567779020979
19610,-0.00394002557442558,-0.00355631828171828,0.041203979020979
19611,-0.000451025574425584,-0.00222651828171828,0.036840179020979
19612,0.0044335744255744,-0.000896718281718278,0.033930979020979
19613,0.0072247744255744,0.00309268171828172,0.028112579020979
19614,0.0107137744255744,0.00442248171828172,0.025203379020979
19615,0.0107137744255744,0.00575228171828172,0.022294179020979
19616,0.0100159744255744,0.00708208171828172,0.020839579020979
19617,0.0079225744255744,0.00708208171828172,0.016475779020979
19618,0.0051313744255744,0.00442248171828172,0.017930379020979
19619,0.00234017442557444,0.00841188171828172,0.015021179020979
19620,0.000944574425574413,0.00442248171828172,0.016475779020979
19621,-0.00184662557442558,0.00442248171828172,0.016475779020979
19622,-0.00463782557442557,0.00575228171828172,0.015021179020979
19623,-0.0074290255744256,0.00841188171828172,0.012111979020979
19624,-0.0074290255744256,0.00841188171828172,0.013566579020979
19625,-0.00882462557442559,0.00575228171828172,0.00920277902097902
19626,-0.0102202255744256,0.00708208171828172,0.012111979020979
19627,-0.00952242557442559,0.00575228171828172,0.012111979020979
19628,-0.00812682557442559,-0.000896718281718278,0.015021179020979
19629,-0.00882462557442559,-0.00222651828171828,0.019384979020979
19630,-0.0109180255744256,-0.00355631828171828,0.020839579020979
19631,-0.0116158255744256,-0.00621591828171829,0.023748779020979
19632,-0.0109180255744256,-0.00754571828171829,0.028112579020979
19633,-0.0130114255744256,-0.0102053182817183,0.029567179020979
19634,-0.0137092255744256,-0.0102053182817183,0.033930979020979
19635,-0.0137092255744256,-0.00754571828171829,0.035385579020979
19636,-0.0171982255744256,-0.00887551828171828,0.038294779020979
19637,-0.0199894255744256,-0.00754571828171829,0.039749379020979
19638,-0.0206872255744256,-0.00488611828171828,0.036840179020979
19639,-0.0199894255744256,-0.00222651828171828,0.031021779020979
19640,-0.0171982255744256,0.00309268171828172,0.025203379020979
19641,-0.0109180255744256,0.0124012817182817,0.00920277902097902
19642,-0.00394002557442558,0.0190502817182817,-0.00243402097902098
19643,0.00234017442557444,0.0270290817182817,-0.015525420979021
19644,0.0079225744255744,0.0350078817182817,-0.027162220979021
19645,0.00931817442557442,0.0376674817182817,-0.031526020979021
19646,0.0100159744255744,0.0376674817182817,-0.034435220979021
19647,0.0114115744255744,0.0403270817182817,-0.035889820979021
19648,0.0121093744255744,0.0403270817182817,-0.034435220979021
19649,0.0100159744255744,0.0389972817182817,-0.031526020979021
19650,0.0072247744255744,0.0416568817182817,-0.030071420979021
19651,0.00931817442557442,0.0443164817182817,-0.027162220979021
19652,0.0072247744255744,0.0403270817182817,-0.021343820979021
19653,0.0079225744255744,0.0416568817182817,-0.019889220979021
19654,0.00862037442557442,0.0376674817182817,-0.014070820979021
19655,0.00862037442557442,0.0336780817182817,-0.00679782097902098
19656,0.00862037442557442,0.0310184817182817,-0.00243402097902098
19657,0.0058291744255744,0.0256992817182817,-0.00243402097902098
19658,0.0065269744255744,0.0243694817182817,0.00192977902097902
19659,0.00373577442557443,0.0230396817182817,-0.000979420979020977
19660,0.00373577442557443,0.0217098817182817,0.00483897902097902
19661,0.00303797442557444,0.0243694817182817,-0.000979420979020977
19662,0.00234017442557444,0.0243694817182817,0.00192977902097902
19663,-0.000451025574425584,0.0256992817182817,0.00192977902097902
19664,-0.00184662557442558,0.0256992817182817,0.00192977902097902
19665,-0.00533562557442557,0.0243694817182817,0.00192977902097902
19666,-0.00533562557442557,0.0270290817182817,-0.00243402097902098
19667,-0.0074290255744256,0.0230396817182817,-0.00243402097902098
19668,-0.00673122557442557,0.0230396817182817,-0.00388862097902098
19669,-0.00812682557442559,0.0230396817182817,-0.00534322097902098
19670,-0.00533562557442557,0.0243694817182817,-0.00970702097902097
19671,-0.00254442557442558,0.0230396817182817,-0.011161620979021
19672,0.000246774425574414,0.0270290817182817,-0.015525420979021
19673,0.0044335744255744,0.0296886817182817,-0.021343820979021
19674,0.00931817442557442,0.0336780817182817,-0.024253020979021
19675,0.0149005744255744,0.0376674817182817,-0.027162220979021
19676,0.0197851744255744,0.0416568817182817,-0.031526020979021
19677,0.0274609744255744,0.0456462817182817,-0.037344420979021
19678,0.0295543744255744,0.0469760817182817,-0.038799020979021
19679,0.0323455744255744,0.0483058817182817,-0.037344420979021
19680,0.0323455744255744,0.0456462817182817,-0.034435220979021
19681,0.0288565744255744,0.0443164817182817,-0.027162220979021
19682,0.0239719744255744,0.0363376817182817,-0.016980020979021
19683,0.0128071744255744,0.0270290817182817,-0.00534322097902098
19684,0.00164237442557441,0.0137310817182817,0.00920277902097902
19685,-0.0102202255744256,0.00442248171828172,0.016475779020979
19686,-0.0178960255744256,-0.00488611828171828,0.025203379020979
19687,-0.0248740255744256,-0.0115351182817183,0.029567179020979
19688,-0.0297586255744256,-0.0141947182817183,0.032476379020979
19689,-0.0332476255744256,-0.0155245182817183,0.032476379020979
