"Sweep","GRF0SumVN","GRF0SumMLN","GRF0SumHzN"
24256,-0.0179083351648352,-0.0173443244755245,0.0103843216783217
24257,-0.0213898351648352,-0.0213361244755245,0.0181543216783217
24258,-0.0234787351648352,-0.0239973244755245,0.0228163216783217
24259,-0.0290491351648352,-0.0279891244755245,0.0290323216783217
24260,-0.0304417351648352,-0.0306503244755245,0.0290323216783217
24261,-0.0304417351648352,-0.0306503244755245,0.0305863216783217
24262,-0.0304417351648352,-0.0306503244755245,0.0336943216783217
24263,-0.0255676351648352,-0.0253279244755245,0.0274783216783217
24264,-0.0213898351648352,-0.0173443244755245,0.0228163216783217
24265,-0.0116416351648352,-0.00936072447552447,0.0150463216783217
24266,-0.00119713516483516,0.00128407552447552,0.00416832167832168
24267,0.00994366483516483,0.0105982755244755,-0.0113716783216783
24268,0.0176029648351648,0.0199124755244755,-0.0175876783216783
24269,0.0231733648351648,0.0278960755244755,-0.0253576783216783
24270,0.0287437648351648,0.0305572755244755,-0.0269116783216783
24271,0.0308326648351648,0.0332184755244755,-0.0300196783216783
24272,0.0329215648351648,0.0318878755244755,-0.0269116783216783
24273,0.0350104648351648,0.0318878755244755,-0.0253576783216783
24274,0.0315289648351648,0.0332184755244755,-0.0238036783216783
24275,0.0308326648351648,0.0305572755244755,-0.0175876783216783
24276,0.0301363648351648,0.0278960755244755,-0.0129256783216783
24277,0.0252622648351648,0.0252348755244755,-0.0113716783216783
24278,0.0238696648351648,0.0212430755244755,-0.00826367832167832
24279,0.0217807648351648,0.0172512755244755,-0.000493678321678322
24280,0.0176029648351648,0.0105982755244755,0.00572232167832168
24281,0.0141214648351648,0.00926767552447552,0.00572232167832168
24282,0.0120325648351648,0.00527587552447552,0.0103843216783217
24283,0.0106399648351648,0.00394527552447552,0.0119383216783217
24284,0.00924736483516483,0.00261467552447552,0.0150463216783217
24285,0.00715846483516483,0.00394527552447552,0.0134923216783217
24286,0.00785476483516484,0.00261467552447552,0.0119383216783217
24287,0.00785476483516484,0.00527587552447552,0.0166003216783217
24288,0.00646216483516484,0.00261467552447552,0.0134923216783217
24289,0.00785476483516484,0.00261467552447552,0.0134923216783217
24290,0.0106399648351648,0.00128407552447552,0.0166003216783217
24291,0.0106399648351648,0.00128407552447552,0.0166003216783217
24292,0.0106399648351648,-4.65244755244766e-05,0.0103843216783217
24293,0.0127288648351648,0.00394527552447552,0.0103843216783217
24294,0.0127288648351648,0.00527587552447552,0.00727632167832168
24295,0.0162103648351648,0.00793707552447552,0.00572232167832168
24296,0.0196918648351648,0.00926767552447552,-0.000493678321678322
24297,0.0203881648351648,0.0145900755244755,-0.00515567832167832
24298,0.0203881648351648,0.0172512755244755,-0.0113716783216783
24299,0.0231733648351648,0.0185818755244755,-0.0160336783216783
24300,0.0245659648351648,0.0225736755244755,-0.0206956783216783
24301,0.0259585648351648,0.0252348755244755,-0.0238036783216783
24302,0.0273511648351648,0.0292266755244755,-0.0300196783216783
24303,0.0273511648351648,0.0265654755244755,-0.0284656783216783
24304,0.0259585648351648,0.0292266755244755,-0.0269116783216783
24305,0.0203881648351648,0.0265654755244755,-0.0253576783216783
24306,0.0120325648351648,0.0199124755244755,-0.0191416783216783
24307,0.00506956483516484,0.0105982755244755,-0.00981767832167832
24308,-0.00607123516483517,-4.65244755244766e-05,0.00106032167832168
24309,-0.0179083351648352,-0.0120219244755245,0.0119383216783217
24310,-0.0241750351648352,-0.0186749244755245,0.0212623216783217
24311,-0.0311380351648352,-0.0253279244755245,0.0259243216783217
24312,-0.0339232351648352,-0.0293197244755245,0.0290323216783217
24313,-0.0367084351648352,-0.0293197244755245,0.0305863216783217
