"PercentStance","InterpV_N","InterpML_N","InterpAP_N","GRF_Vert_Sq","NetGRF_N","MLAngle_deg","MLAngle_Convert_deg","APAngle_deg","APAngle_Convert_deg","InterpV_BW","InterpML_BW","InterpAP_BW","NetGRF_BW"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.0911380097042939,-0.0117520825240772,0.00993298206673647,0.00830613681285997,0.0924278766890747,97.3476421466057,-7.34764214660571,83.7799776172119,6.22002238278806,0.332135603878622,-0.0428282890819141,0.0361989142373778,0.336836285310039
23,0.0925885089412064,-0.0123627882572987,0.0116021367145313,0.00857263198795586,0.0941279984796943,97.6053767917015,-7.60537679170153,82.8575746855885,7.14242531441151,0.337421679814892,-0.0450538930659574,0.0422818393386709,0.343032064430373
24,0.0936252632669876,-0.0127983022972212,0.0130887608828526,0.00876568992181274,0.0953981243261747,97.7839226406319,-7.78392264063194,82.0416593534072,7.95834064659282,0.341199939019634,-0.0466410433572201,0.0476995658996087,0.347660802937954
25,0.094131423473245,-0.0129569634431865,0.0143719100307805,0.00886072488509939,0.096099737693192,97.8373756344308,-7.83737563443081,81.3191650030645,8.68083499693549,0.343044546185295,-0.0472192545305632,0.0523757654182962,0.350217702963528
26,0.0940895026202271,-0.0128130677043415,0.01552722657223,0.00885283450332172,0.0962190416307662,97.7548118833132,-7.75481188331315,80.6291574021138,9.37084259788617,0.342891773397329,-0.0466948531499324,0.0565861026684766,0.350652484077136
27,0.0935668218800508,-0.0123982258047262,0.0166429823537607,0.00875475015673315,0.0958407795328571,97.5481000278279,-7.5481000278279,79.9141306028807,10.0858693971193,0.340986960204267,-0.0451830386469613,0.0606522680530637,0.349273977889421
28,0.0926349553060131,-0.0117375664548057,0.0177447986591662,0.00858123494454704,0.0950467426600321,97.2213373592774,-7.22133735927741,79.1560013099211,10.8439986900789,0.337590944992759,-0.0427753879548314,0.0646676335975446,0.346380257507406
29,0.0913093901565141,-0.0108967459600608,0.0188787604242695,0.00833740473075452,0.093875190537381,96.8054199257958,-6.80541992579579,78.3183558067272,11.6816441932728,0.332760168208871,-0.0397111733238366,0.0688001473187662,0.342110752687248
30,0.0896922542035763,-0.00989546415262384,0.0199952312506066,0.00804470046411895,0.0924252668250411,96.2958012428342,-6.29580124283419,77.4324703843509,12.5675296156491,0.326866815610701,-0.0360621871451306,0.0728689185517734,0.336826774143736
31,0.0879006283202754,-0.00880780175000747,0.021126672429348,0.0077265204590992,0.0908319003363004,95.7220410874374,-5.72204108743736,76.4854569817213,13.5145430182787,0.320337566764852,-0.032098402879036,0.0769922464626385,0.331020044957363
