PercentStance,InterpV_N,InterpML_N,InterpAP_N,GRF_Vert_Sq,NetGRF_N,MLAngle_deg,MLAngle_Convert_deg,APAngle_deg,APAngle_Convert_deg,InterpV_BW,InterpML_BW,InterpAP_BW,NetGRF_BW,filename
38,0.226359297,0.011536958,0.096512766,0.051238531,0.24634599,87.0823044,2.917695603,66.90806474,23.09193526,0.360904491,0.018394385,0.153878773,0.392771029,af05f40
53,0.149539974,-0.003995409,0.126466636,0.022362204,0.195887664,91.53046437,-1.530464366,49.77864687,40.22135313,0.238424703,-0.006370231,0.201636856,0.312320893,af05f46
21,0.20573416,0.006910362,0.081687844,0.042326544,0.221466028,88.07622718,1.923772818,68.34418411,21.65581589,0.313332561,0.010524463,0.124410362,0.337292153,af05f51
23,0.225686009,-0.00739065,0.10265864,0.050934174,0.248047561,91.87562252,-1.875622521,65.54045837,24.45954163,0.338664479,-0.011090411,0.154049579,0.372220229,af05f55
32,0.303952572,0.006273249,0.146588164,0.092387166,0.337512384,88.81764548,1.182354522,64.25323486,25.74676514,0.430771786,0.00889066,0.207749665,0.478333878,af05f58
46,0.238888831,-0.03921662,0.127136697,0.057067874,0.273440225,99.32267299,-9.322672992,61.97808057,28.02191943,0.338561269,-0.05557911,0.180182393,0.387528663,af05f60
26,0.147093514,-0.004839641,0.115229679,0.021636502,0.186916567,91.88445422,-1.884454219,51.92566689,38.07433311,0.208465865,-0.006858901,0.163307368,0.264904432,af05f69
26,0.132754436,0.012380319,0.128447323,0.01762374,0.185137051,84.67216031,5.327839692,45.94469894,44.05530106,0.188144042,0.017545804,0.182039857,0.262382441,af05f71
44,0.279534547,-0.027966055,0.123824357,0.078139563,0.307008362,95.71315018,-5.713150176,66.10827618,23.89172382,0.396165741,-0.039634431,0.175488034,0.435102554,af05f72
18,0.197312867,-0.066289578,0.089594624,0.038932367,0.226613928,108.5703797,-18.57037966,65.57844055,24.42155945,0.305060091,-0.102488524,0.138519827,0.350361669,af06f15
26,0.2180829,-0.04445432,0.09198151,0.047560151,0.240825531,101.5214052,-11.52140525,67.13128929,22.86871071,0.337172078,-0.068729623,0.142210127,0.372333844,af06f41
