"PercentStance","InterpV.N","InterpML.N","InterpHz.N"
0,0.0386528735923145,0.00451374939189024,-0.0152966373448992
1,0.0421698557318688,0.00358902946023203,-0.0128937185715331
2,0.045765322455167,0.00255071985042485,-0.010092877483655
3,0.0493627836499369,0.00142822660734542,-0.00697437194590107
4,0.0528901194316247,0.000245943891471523,-0.00359671903907441
5,0.056309806664876,-0.000939931005345002,-1.12148892616430e-05
6,0.0595662045634424,-0.00208718364367722,0.003720180379997
7,0.0625860074379657,-0.00317159070715173,0.00752012496620249
8,0.0653337605843134,-0.00414716633009296,0.0113120673406813
9,0.0677880208912372,-0.00498848831381867,0.0150167257080257
10,0.0699274552954762,-0.00570943255109061,0.0185384968267505
11,0.0717859086450553,-0.00631615596478597,0.0217775914797428
12,0.0734193558162505,-0.00681785747074586,0.0246515760055310
13,0.0748785028293582,-0.00725259976521583,0.0270913410357507
14,0.0762534550804063,-0.00764094301198792,0.0290316722330337
15,0.0776601236535456,-0.00799305827516088,0.030427611220274
16,0.0791877871963454,-0.00834521963446273,0.0312488879576977
17,0.0809328727209069,-0.00871784373451443,0.0314471546497009
18,0.0830049590469531,-0.00909904961601411,0.0310093712465895
19,0.0854834435030995,-0.00949851723454546,0.02995885155988
20,0.0884266845321202,-0.00991700919772516,0.0283461834919309
21,0.0918920423155101,-0.0103267218394192,0.0262456452626477
22,0.0958898357346118,-0.0107148480662477,0.0237505366109421
23,0.100392531939327,-0.0110729281135735,0.020958196941266
24,0.105369389468189,-0.0113624579314373,0.0179686783298665
25,0.110755808113143,-0.0115571691024318,0.0148858265186584
26,0.116454796071480,-0.0116454194035136,0.0118066142702625
27,0.122374769459450,-0.0115945507764110,0.00880809194471395
28,0.128402927437029,-0.0113841075337561,0.00595120181642759
29,0.134405311463387,-0.0110236491766880,0.0032837731579408
30,0.140293391681477,-0.0105091232387903,0.00083089065578079
31,0.146021544543226,-0.00984166929496758,-0.00139251170063394
32,0.151562096600115,-0.00906130025850942,-0.00336628204693024
33,0.156935603205607,-0.0082074990161293,-0.00507526155507205
34,0.162187374238715,-0.00731967761041882,-0.00651616599798044
35,0.167339891182829,-0.00646934692467696,-0.00768878588483135
36,0.172420571750790,-0.00572809822488259,-0.00860258293225174
37,0.177460613808981,-0.00515065181368893,-0.00928628489622783
38,0.182447570771937,-0.0048015256434377,-0.00977156644147582
39,0.187361118194217,-0.00472542778752377,-0.0100854028312144
40,0.192207318503396,-0.00492390202247952,-0.0102667357473838
41,0.196975435363183,-0.00539340066732409,-0.0103661143603233
42,0.201649817589071,-0.00611232860164902,-0.0104278966330194
