"PercentStance","InterpV.N","InterpML.N","InterpHz.N"
0,0.00194809115588189,0.00249788789371174,-6.21536559776236e-06
1,0.00247481231541521,0.00280257455633245,0.000190028469078323
2,0.00307273392151178,0.00310401973082507,0.000445594958565723
3,0.00378366556120306,0.0033906379473026,0.000769465853925123
4,0.0046881287337371,0.00366238084377178,0.0011702756149568
5,0.00586581855498144,0.0038987070191421,0.00165489670973155
6,0.00732429517889231,0.00404504480300235,0.00220330805261829
7,0.00910024010848938,0.00406615760914911,0.00278587488047443
8,0.0112152837879864,0.0038810305312865,0.00336936494277791
9,0.0137451582602309,0.00346455868506036,0.0039302038686302
10,0.0166693558885887,0.00275620667305339,0.00442217044720509
11,0.0199363776622249,0.00174569366436419,0.00479027681287509
12,0.0234289666099815,0.000400154532858328,0.00498146640560044
13,0.0270673173884467,-0.00126014241450469,0.00495068495708377
14,0.0308100045785307,-0.00319191512671838,0.00467608555721467
15,0.0346542741688713,-0.0053600815764863,0.00413839036050758
16,0.0386290173343421,-0.00770930941910639,0.00332754863492474
17,0.0426777757191175,-0.0102250206824618,0.00223423226044382
18,0.0467840098728719,-0.0128525261625542,0.000885368022282749
19,0.0508995784314534,-0.0155921424083115,-0.00067316276756534
20,0.0550543085278749,-0.0183995862149033,-0.00237478829871575
21,0.0592235904073301,-0.0212738134604676,-0.00414109775663516
22,0.0633464418503846,-0.0241785878732083,-0.00588670674446281
23,0.0673062777694994,-0.0270756331931943,-0.0075194040741052
24,0.0709872400533905,-0.0299180136513915,-0.00895204740000896
25,0.0743444883390645,-0.0326536560662355,-0.0100955538138191
26,0.0772848936859866,-0.0352683824990304,-0.0108884903021165
27,0.0798017568262079,-0.0377073059660086,-0.0112822613688242
28,0.0818872735190121,-0.0399696327410107,-0.0112675915251697
29,0.0836218600603119,-0.0420334844161607,-0.0108769856776763
30,0.085059738285076,-0.0439494720341249,-0.010204487139883
31,0.0862912268110004,-0.0457527097515974,-0.00936892398298667
32,0.0873931733237882,-0.0474924232869582,-0.00849103340514105
33,0.0884341375639315,-0.0492005390697922,-0.00768573622300165
34,0.0894890104982498,-0.050867285850473,-0.00704604121229506
35,0.0905307293071463,-0.0524616034224734,-0.00661928743468286
36,0.0915396982457282,-0.0538756587664399,-0.0063975152228721
