"PercentStance","InterpV.N","InterpML.N","InterpHz.N"
0,0.0123767451519846,0.00788938530336852,0.0299201840420983
1,0.0153593682754518,0.006766967699993,0.0320783227210482
2,0.0182718504522327,0.00542376063531399,0.0341015984532952
3,0.0210503997735165,0.00394480328528863,0.0359269639889323
4,0.0236353654629086,0.00241502872489986,0.0375307097627223
5,0.0259594317024404,0.000884241946726211,0.0389342442663369
6,0.0279972292264407,-0.000561175977125694,0.0401216815016814
7,0.0297231792128899,-0.00185816796653562,0.0410984793815169
8,0.0310885125591012,-0.00299338888954525,0.0419040584034503
9,0.0320841309348112,-0.00392292460240074,0.042537569887799
10,0.0327186097999831,-0.00462831626629464,0.0430153929447806
11,0.0330037207702522,-0.00514478080028545,0.0433746485109378
12,0.0330069389577892,-0.00547450240439964,0.0435933761026515
13,0.0328004224590716,-0.00563456630896377,0.0436569300790767
14,0.0324247596458525,-0.0056803010678569,0.0435744876008953
15,0.0319468041623936,-0.00562905362151075,0.0433103093287293
16,0.0314280556323055,-0.00550903403766453,0.0428457917568935
17,0.0308995126167735,-0.00537410979541959,0.0422013635899048
18,0.0304184106810423,-0.00522646140346172,0.0413657061003047
19,0.0300370319972533,-0.00507526386525685,0.04035153995655
20,0.0297687430502707,-0.0049561654274875,0.0392095204714335
21,0.0296346547424826,-0.00484765094804658,0.0379579028107683
22,0.029640728595011,-0.00473290376588,0.0366385103262276
23,0.0297685760554264,-0.00463353224448393,0.0353233132817332
24,0.0300372468351356,-0.00452992250770968,0.0340402267779823
25,0.0304649345917595,-0.00441498501258573,0.0328261512078591
26,0.0310503243590336,-0.00431187485336238,0.0317407234109307
27,0.0318237749600941,-0.00419964318512689,0.0307903327712236
28,0.0328037727156885,-0.00406697504611718,0.0299834701996207
29,0.0339742673970225,-0.00392991031762872,0.0293475335858011
30,0.0353383908954934,-0.00375979007854152,0.0288532371059555
31,0.0368886207947444,-0.00353644493909524,0.0284759286729031
32,0.038582869525523,-0.00326834658199113,0.0282205926554557
33,0.0403901706812601,-0.0029218317486098,0.0280473411475101
34,0.042257363644897,-0.00247288619532456,0.0279295381190898
35,0.044094696124505,-0.00192397624182747,0.0278758894757072
36,0.0458386726751508,-0.00123764560378836,0.0278511021199342
37,0.0474264456429153,-0.00039524212313246,0.0278269231079271
38,0.0487776976623693,0.000585443407851717,0.0278109195343427
39,0.0498495016912735,0.00171321080198506,0.0277728997148432
40,0.050605809785836,0.00297026399795158,0.02769725324271
41,0.0510054476633451,0.00430029933732748,0.0276108997253224
42,0.0510559865907021,0.00567690523281738,0.0275037513856473
43,0.0507708928881453,0.00705680288813398,0.0273746117784085
44,0.0501458661361841,0.00837163384794755,0.0272599907248267
45,0.0492081643473302,0.00959786020587277,0.0271483528942881
46,0.0479812905818858,0.01071084697323,0.0270317911231759
47,0.0464717748755828,0.0116697321697689,0.0269408682713174
48,0.0447396802480215,0.0124865345455363,0.0268630231309171
49,0.0428641055053906,0.0131813962121217,0.026794306612703
50,0.0409007768145173,0.0137535374426971,0.0267736639304568
51,0.038908711018194,0.0142275214200943,0.0267987634074507
52,0.0369160206503157,0.0146141651737195,0.0268800847545016
53,0.0349189697424758,0.0148972453260002,0.0270688776729542
54,0.0329493147945196,0.0150943275054883,0.0273567095602072
55,0.0310385949283884,0.0152171556007736,0.0277291459843539
56,0.0291778573706247,0.0152497472872942,0.0281986731049626
57,0.027361536723307,0.0152080191781371,0.0287219268770601
58,0.0255725506045607,0.0151062554846237,0.0292626076697401
59,0.0237679815714066,0.0149285047755357,0.0298249117841842
60,0.0219335143257979,0.0146962842671527,0.0303672055929152
61,0.0200633658402143,0.0144308236823246,0.0308544456510215
62,0.0181473924126064,0.0141234382316914,0.0312887562778082
63,0.0162112622610409,0.0137955360723866,0.0316232382314257
64,0.014259685008566,0.013464193349038,0.0318215517856169
65,0.01224359810166,0.0131117360666214,0.0318939242229064
66,0.0101401868688188,0.0127495654715537,0.0318164924812437
67,0.00795731383964339,0.0123872321396125,0.0315861845913679
68,0.0056988799553587,0.0120044770518072,0.0312468628968066
69,0.00340507619281591,0.0116238023097134,0.0308031906009409
70,0.00112634417895469,0.0112671943513408,0.0302721018642849
71,-0.00111161005164602,0.0109183916212158,0.0297076500901262
72,-0.00326763069151585,0.0105965935755985,0.0291158561199359
73,-0.00532096578557487,0.0103211194804372,0.0285100441662053
74,-0.00728538686654142,0.0100761711906112,0.0279354130589376
75,-0.00913665363723283,0.009878009192103,0.0273819972947542
76,-0.0108431011749417,0.00974007806707243,0.0268417386257929
77,-0.0124216028650473,0.00963704464864455,0.026340026393681
78,-0.0138856674063439,0.00958306263243604,0.0258571847926177
79,-0.0152457799362749,0.00959485096776803,0.0253802217014254
80,-0.0165359374899231,0.00965149176167586,0.0249278247045237
81,-0.0177661633103804,0.00977101694278733,0.024467852161006
82,-0.0189436467751499,0.00996984745463197,0.0239776801879984
83,-0.0201004175074102,0.0102144180554287,0.0234711745356766
84,-0.0212357331803914,0.0105025669825639,0.0229209433960161
85,-0.0223405412595495,0.0108320325706965,0.0223134615777874
86,-0.0234325309109188,0.0111606438120793,0.0216745708051244
87,-0.0245127984062661,0.0114881973104419,0.0209902336129045
88,-0.0255918307185186,0.0118182574312951,0.0202586588783516
