"PercentStance","InterpV.N","InterpML.N","InterpHz.N"
34,0.893791255400899,0.0605115640220983,0.0593565230294805
35,0.884175598362946,0.0614794862846069,0.0618026453621498
36,0.871339896728152,0.0613337185229805,0.0648230583286863
37,0.855467672918194,0.0600648069997016,0.0686140519634745
38,0.837139474090617,0.0577841688712451,0.0732898470820689
39,0.817295589707121,0.0546678283762772,0.0789635130234724
40,0.797212380235677,0.0509664655940594,0.0856789789285968
41,0.778244710355927,0.0468868212453176,0.0933932753575065
42,0.761575613910764,0.0424981052754804,0.101927696333709
43,0.748164820495696,0.0377149690553327,0.110950593524185
44,0.738496305631688,0.0323092839093413,0.120076505139367
45,0.732442129908272,0.0261130733357523,0.128829461983126
46,0.729423970581924,0.0190461483067004,0.136824525092732
47,0.728569223713047,0.0112203927293774,0.143741816894
48,0.728858345926744,0.00284175039323049,0.149475860814412
49,0.729474840500451,-0.00575361900022349,0.154029195540887
50,0.729868091105709,-0.0142458816611917,0.15754691549196
51,0.729902143888789,-0.022338015114919,0.160160793527566
52,0.729770539162092,-0.0298615239070826,0.1620234857349
53,0.72980995148683,-0.0367778589919771,0.163245353649482
54,0.730469490713624,-0.0432128667966153,0.163874747656396
55,0.732285700113533,-0.0494407042601038,0.163889768660777
56,0.735760439767058,-0.0557343206817722,0.16318794113975
57,0.741261486191898,-0.0623262072967573,0.161691385110568
58,0.749029104242915,-0.0692966179976298,0.159234477349044
59,0.759036863083056,-0.0766529181409413,0.155685616440136
60,0.770886753509301,-0.0842656259213513,0.150907072106178
61,0.783819588599339,-0.0920047959522092,0.144914798854387
62,0.797126919576512,-0.0996850125519312,0.137793076298513
63,0.810180072205316,-0.107118396901869,0.129752433919273
64,0.822450664647214,-0.11406516736626,0.121038653522933
65,0.833574340537347,-0.120267648422768,0.111998809411558
66,0.843288075940065,-0.125468062746625,0.103049686053659
67,0.851337090296439,-0.12941846607963,0.0946166418781468
68,0.857434022339956,-0.131911354407799,0.0871095540923187
69,0.861318134913899,-0.132773121684956,0.0808178424540119
70,0.862755375908427,-0.131948615197331,0.0759618650136627
71,0.861617089235433,-0.129359143120976,0.0725773592951892
72,0.857971846281639,-0.125034113735512,0.0706437236263289
73,0.85215351533273,-0.119102481068119,0.070020480757106
74,0.844407222094341,-0.111861264693012,0.0705719079934514
