PercentStance,APAngle.Convert,MLAngle.Convert,InterpV.BW,InterpML.BW,InterpAP.BW,NetGRF.BW,Group,Species,Ind,Appendage,Trial,InterpV.N,InterpML.N,InterpAP.N,SquaredV.N,SquaredML.N,SquaredAP.N,NetGRF.N,APAngle,MLAngle
66,-8.806449049,-8.429881973,0.486101447,-0.072040285,-0.075308506,0.497147654,at_Pec,at,at05,Pec,at05f64,0.342993181,-0.050831625,-0.053137682,0.117644322,0.002583854,0.002823613,0.350787385,98.80644905,98.42988197
65,0.648931361,-8.733212742,0.48596122,-0.074650836,0.005504227,0.491692333,at_Pec,at,at05,Pec,at05f65,0.314319717,-0.048284161,0.003560134,0.098796884,0.00233136,1.27E-05,0.318026601,89.35106864,98.73321274
56,-5.624333452,-5.626833819,0.520916683,-0.051322649,-0.051299696,0.525946636,at_Pec,at,at05,Pec,at05f67,0.336928911,-0.03319549,-0.033180644,0.113521091,0.001101941,0.001100955,0.340182284,95.62433345,95.62683382
66,3.241876335,-11.03507508,0.440755617,-0.085954261,0.024965224,0.449752055,at_Pec,at,at05,Pec,at05f71,0.285080733,-0.055595216,0.016147507,0.081271024,0.003090828,0.000260742,0.290899629,86.75812367,101.0350751
60,-12.77344525,-11.45749202,0.410909287,-0.083283013,-0.093156047,0.429488709,at_Pec,at,at06,Pec,at06f08,0.241614661,-0.048970412,-0.054775756,0.058377644,0.002398101,0.003000383,0.252539361,102.7734452,101.457492
58,-7.796971481,-7.707489003,0.427008178,-0.057790605,-0.05846985,0.43484993,at_Pec,at,at06,Pec,at06f09,0.251080809,-0.033980876,-0.034380272,0.063041573,0.0011547,0.001182003,0.255691759,97.79697148,97.707489
57,2.138134027,-9.088144991,0.329677547,-0.052735827,0.012308449,0.334095571,at_Pec,at,at06,Pec,at06f12,0.190619558,-0.030491855,0.007116745,0.036335816,0.000929753,5.06E-05,0.193174059,87.86186597,99.08814499
65,-2.735656932,-5.89352214,0.377817129,-0.039000431,-0.018053061,0.380253507,at_Pec,at,at06,Pec,at06f19,0.218453864,-0.022550049,-0.01043828,0.047722091,0.000508505,0.000108958,0.219862578,92.73565693,95.89352214
55,-3.067388432,-5.795369161,0.351899325,-0.035715895,-0.018857311,0.354209484,at_Pec,at,at06,Pec,at06f21,0.20346819,-0.020650931,-0.010903297,0.041399304,0.000426461,0.000118882,0.204803924,93.06738843,95.79536916
66,-11.15385473,-7.832162594,0.465312407,-0.064005993,-0.09174495,0.478570307,at_Pec,at,at06,Pec,at06f28,0.269043634,-0.037008265,-0.05304693,0.072384477,0.001369612,0.002813977,0.276709352,101.1538547,97.83216259
63,-8.991439561,-7.78203383,0.456770398,-0.062423851,-0.072275368,0.466647257,at_Pec,at,at06,Pec,at06f30,0.264104644,-0.036093471,-0.041789618,0.069751263,0.001302739,0.001746372,0.269815444,98.99143956,97.78203383
62,-9.294213448,-7.037813378,0.535928636,-0.066162819,-0.087706103,0.54707347,at_Pec,at,at06,Pec,at06f33,0.309873937,-0.038255342,-0.050711669,0.096021857,0.001463471,0.002571673,0.31631788,99.29421345,97.03781338
41,4.264338703,-8.392215464,0.285398679,-0.04210439,0.021280604,0.289271585,at_Pec,at,at06,Pec,at06f34,0.165017516,-0.024344758,0.012304445,0.027230781,0.000592667,0.000151399,0.16725683,85.7356613,98.39221546
61,-8.273743292,-8.681915665,0.453425801,-0.069237438,-0.065935473,0.463396446,at_Pec,at,at06,Pec,at06f40,0.262170798,-0.040033087,-0.038123891,0.068733527,0.001602648,0.001453431,0.267935825,98.27374329,98.68191567
55,-10.24193974,-9.849062339,0.565343195,-0.098150346,-0.102148573,0.58282137,at_Pec,at,at07,Pec,at07f07,0.315800709,-0.054826783,-0.057060193,0.099730088,0.003005976,0.003255866,0.325564017,100.2419397,99.84906234
