"PercentStance","APAngle.Convert","MLAngle.Convert","InterpV.BW","InterpML.BW","InterpHz.BW","NetGRF.BW"
0,34.8164707110234,5.04263097909465,0.0159910728704943,0.00141102762122205,0.0111209040031124,0.0195289507230612
5,34.2692700435615,4.51652572396507,0.0331702907389847,0.00262018522535682,0.0226011786809859,0.0402237098748214
10,32.478351437065,3.77655233995631,0.0575993829019453,0.00380207153705142,0.0366642651622528,0.0683843037439568
15,29.8972213736273,2.72384466299155,0.0882845080976415,0.00420021532639109,0.0507601467558038,0.101923445180691
20,26.5390051750206,1.07647879720321,0.123595394210108,0.00232239581361106,0.0617274817547857,0.1381719833977
25,22.4866684201335,-1.18217918473508,0.163152213642353,-0.00336678420839779,0.0675353883635311,0.176609763981833
30,18.2125858156568,-3.83609494822952,0.205567484079261,-0.0137838565194058,0.0676371904802087,0.216847353563009
35,14.181164346632,-6.59839799192825,0.249356302591324,-0.0288444431913793,0.0630096288619736,0.258806454468123
40,10.8185669702992,-9.12495220370062,0.292890040741558,-0.0470442183349443,0.0559701357081053,0.301878105425884
45,8.37194145793222,-11.2373007576975,0.33367100387486,-0.0662944105011739,0.0491052926611888,0.343718805796099
50,6.89909547377157,-12.9245804735198,0.369345371673659,-0.0847581635279425,0.0446897848534345,0.381571915543622
55,6.33099274792498,-14.3055769358423,0.398987800303887,-0.101742075150766,0.0442671295112053,0.414128353777522
60,6.51492583207799,-15.4392330954518,0.422119676078568,-0.116582163963501,0.0482058571099875,0.440568072545885
65,7.20164651313327,-16.3370062365146,0.436479752203396,-0.127941689769308,0.0551529591755199,0.458176274997277
70,8.12248002024572,-17.0675038936235,0.438071745591301,-0.134496540277038,0.0625222109109021,0.462498865392218
75,9.10875624322151,-17.7188799948261,0.423410640400636,-0.135281320139412,0.0678857661712574,0.449651068309414
80,10.196933123011,-18.3746683067174,0.389925828018553,-0.129519615168055,0.0701371829793261,0.416817353891978
85,11.4902383028389,-19.1685682742848,0.337500225361839,-0.117322451969316,0.0686053176627528,0.363837394266988
90,13.030909302567,-20.3282366792215,0.271480359691594,-0.100575761224307,0.0628304601467185,0.29625113698748
95,14.8779678167377,-22.2540934591057,0.200202033185169,-0.0819215120011076,0.0531872157555788,0.22275741994343
100,17.0535324479706,-25.2012394078501,0.133885422155013,-0.0630052349551948,0.0410697044233149,0.153563298085199
