"PercentStance","APAngle.Convert","MLAngle.Convert","InterpV.BW","InterpML.BW","InterpHz.BW","NetGRF.BW"
"0","NA","NA","NA","NA","NA","NA"
"5","NA","NA","NA","NA","NA","NA"
"10","NA","NA","NA","NA","NA","NA"
"15","61.0888627257834","-44.872951462905","0.0977369706517635","-0.0973044820450618","0.17696890384055","0.224362810164178"
"20","51.7163563572232","-36.4459364972332","0.132964922999733","-0.0981948421407845","0.168461646099442","0.236011067490303"
"25","46.3458242267515","-26.6939782127051","0.165191128814605","-0.0830607301597905","0.173139664322457","0.253307199454366"
"30","43.5796761137955","-21.0593673978258","0.190932507173791","-0.0735192004391801","0.181693467007802","0.273628966087659"
"35","43.6985425307707","-20.8399180881474","0.195837085425888","-0.0745476995420426","0.187136453090827","0.280944079151942"
"40","48.1650066433345","-20.8483306554954","0.171912000068924","-0.0654692337211146","0.192036935820726","0.26592882704051"
"45","54.8330698146153","-17.5720381816909","0.142853934586886","-0.0452392174254864","0.202756709234097","0.252119250672504"
"50","58.7084911098806","-11.7206861609359","0.124419594663244","-0.0258129100231876","0.204702617111413","0.240935060363354"
"55","61.802416289589","-7.25857886044066","0.108122227506215","-0.0137713360351274","0.201667523204937","0.229237552972265"
"60","66.6778541804649","-9.30576693833436","0.0915878094877005","-0.0150075448455557","0.21243845402292","0.23182676721357"
"65","74.9683571299258","-24.1636297064921","0.06639026533241","-0.0297863274743235","0.247225619049291","0.257711853335505"
"70","83.1570391539333","-48.9063866815823","0.0328525346748925","-0.037668042758099","0.273763551726945","0.27828879376278"
"75","86.3574802902554","-64.1287712955358","-0.0169924737833583","-0.035039387219213","0.266926498548386","0.269752216764344"
"80","70.8986188841656","-15.8316291905203","-0.0869360458588115","-0.0246522638605752","0.251036750690405","0.266805285517759"
"85","54.8318354749442","-4.45339233871633","-0.164662861309036","-0.012824480995452","0.233700054665315","0.286171348597047"
"90","40.5411972960288","0.116726803504207","-0.238324849397872","0.000485532033761611","0.203845196167646","0.313610958964288"
"95","30.9575781401963","4.04736819758266","-0.290529584044903","0.0205571858831198","0.174275146072127","0.339414000352371"
"100","25.2622109444476","7.72517239145706","-0.328754737906291","0.0445964690604168","0.155136458523377","0.366245605450313"
