"PercentStance","APAngle.Convert","MLAngle.Convert","InterpV.BW","InterpML.BW","InterpHz.BW","NetGRF.BW"
"0","-43.2084200120242","-21.4666449694119","0.0267032379252252","-0.0105007317270139","-0.0250833952978369","0.0381117436253112"
"5","-19.2045700950296","-25.4362706559887","0.0517730100386147","-0.024623808814813","-0.0180339001208982","0.0600999008533083"
"10","0.217067222869659","-25.8175941240424","0.073884556122862","-0.0357451843271265","0.000279915768283694","0.0820775498470192"
"15","10.4027116835375","-26.5636900359918","0.090402038033354","-0.0451983345155733","0.0165963014900207","0.102424875624593"
"20","9.10948012704296","-27.1502278747116","0.114664946742726","-0.0588039173078458","0.0183858084369034","0.130169077180945"
"25","1.86875774249391","-25.6987421093746","0.152860065209719","-0.073562448107662","0.00498744882407221","0.169713016452141"
"30","-5.7442534901692","-22.0089821105532","0.204897836645653","-0.082821466681584","-0.0206113687603178","0.221962490812144"
"35","-10.6885019604326","-17.4346183543822","0.267995268359839","-0.0841624860271957","-0.0505825327032141","0.285417905065908"
"40","-12.5558690310643","-12.6291445936728","0.33408494363216","-0.0748552822701206","-0.0744066995268451","0.350360414116551"
"45","-12.146526153301","-8.811630172209","0.390544214729024","-0.0605406156971664","-0.0840571935670694","0.404048959406745"
"50","-11.4845083375998","-6.92479950214772","0.435214855579484","-0.0528579284445928","-0.0884229253867737","0.447241036635146"
"55","-12.2953643730996","-5.55770904556094","0.465798021560948","-0.0453248018238113","-0.101520915754238","0.478882690109008"
"60","-13.4115232626057","-4.2271614283853","0.46793026437908","-0.0345856799723989","-0.111576168961329","0.482290517283013"
"65","-13.7981262564234","-3.345755028913","0.443512793132412","-0.0259281593336835","-0.108921811349139","0.457427402006181"
"70","-13.9285331013299","-3.20954801585864","0.406947052707512","-0.0228199004920135","-0.100924310321181","0.419895663206471"
"75","-13.0361640149262","-5.07658233434468","0.360362266201666","-0.0320130221089826","-0.083435796677289","0.371277966830412"
"80","NA","NA","NA","NA","NA","NA"
"85","NA","NA","NA","NA","NA","NA"
"90","NA","NA","NA","NA","NA","NA"
"95","NA","NA","NA","NA","NA","NA"
"100","NA","NA","NA","NA","NA","NA"
