"PercentStance","APAngle.Convert","MLAngle.Convert","InterpV.BW","InterpML.BW","InterpHz.BW","NetGRF.BW"
0,5.4524008472672,-19.5704809561346,0.0371692739248288,-0.0132138091614731,0.00354783138061254,0.0396074081979628
5,11.4334776888785,-22.5082805944263,0.0730588161168515,-0.0302743235439324,0.0147756701365385,0.0804515115235408
10,14.3070309718873,-24.1150726326107,0.118282672804815,-0.0529477434172396,0.0301653336818714,0.133057136505215
15,15.9781290891873,-25.133382026832,0.165256885938274,-0.0775294245668338,0.0473183884496616,0.188572744343272
20,16.8675041946083,-25.5619479083541,0.207519930390193,-0.099257486392263,0.0629208365007521,0.238486062024629
25,17.1352072049129,-25.3023392512783,0.24067858529663,-0.113780268266508,0.0742043209361034,0.276366445345259
30,16.7917013048294,-24.2401497547655,0.262551334078707,-0.118216459390798,0.0792274288633532,0.298639112946885
35,15.5291475022192,-22.3993432539768,0.2730801612138,-0.112551858354577,0.0758814579155668,0.304956867315717
40,12.8685068586781,-20.0462121286111,0.276433419058472,-0.100866105185399,0.0631518104588782,0.300961056470539
45,9.10569757628953,-17.6849371466484,0.280435040202424,-0.0894170101334918,0.0449470185957054,0.297757364233348
50,5.62233310754723,-15.9074337383166,0.291273885183696,-0.0830124076211488,0.0286742846090146,0.30422647913504
55,3.75495583540311,-15.0937622560678,0.310022078628638,-0.0836141686691033,0.0203468514930731,0.321743706706328
60,3.75633764390271,-15.2764293063441,0.332884089754144,-0.090919605635922,0.0218553556343869,0.345768489701335
65,5.19687348386522,-16.1351712235198,0.350336757056215,-0.101352522138061,0.0318638671208417,0.366092178441859
70,7.60992803494176,-17.2225661904459,0.352178455934055,-0.109169459851547,0.0470527509363298,0.371700951248514
75,10.7146682750866,-18.4132863970874,0.328746151422162,-0.109443965025301,0.0622044014256659,0.352024716620961
80,14.2931292951866,-19.7132259864846,0.278941699009904,-0.0999482388093111,0.0710657256037396,0.304710451483373
85,18.2220534361957,-21.2406203259737,0.212142000718739,-0.0824575338525109,0.069839233640839,0.238077701420203
90,22.2292623384146,-23.3745109669724,0.144122519546622,-0.0622912762092627,0.0589011939787235,0.167692738019165
95,26.1128371502713,-27.2227490821562,0.0882439000629151,-0.0453955045228535,0.0432547593590912,0.108252999664725
100,30.5957339274397,-34.3665637831336,0.0483822996785392,-0.033086596678949,0.0286083501322503,0.0652227529261747
