"PercentStance","APAngle.Convert","MLAngle.Convert","InterpV.BW","InterpML.BW","InterpHz.BW","NetGRF.BW"
0,-2.5950669658975,12.0013395363589,-0.401947794263845,0.0854464630056776,-0.0182176645319031,0.411333211222663
5,-0.416918404645642,12.5738898793539,-0.366314225668228,0.0817056755581855,-0.00266556872821381,0.375325238429256
10,4.04021272051666,13.547301910938,-0.318286075964841,0.0766916954592518,0.0224812212344147,0.328166189016635
15,11.6314519916072,15.2390676674378,-0.256534352997814,0.069886708504173,0.0528057125214991,0.271076501321044
20,23.2927768532723,18.5792500250152,-0.183989328298053,0.0618450796179096,0.0792108276023497,0.20964551512008
25,40.2080314292102,26.4817582964467,-0.108459204255349,0.054032656464295,0.0916811973201772,0.151948573189594
30,65.5585125088238,50.6505324072042,-0.0391306436449061,0.047724178814833,0.0860972576801456,0.105931781329572
35,77.3681532270817,70.5603841705877,0.015078217240267,0.042722610988188,0.0672803828592069,0.0811124160808577
40,41.8779203345279,38.2167240750733,0.0485071235821429,0.0381942740708546,0.0434892228530507,0.0755185812523987
45,19.1987862771018,27.6263969773725,0.0631753437565575,0.0330643410809282,0.0219984817774927,0.0746210956123658
50,7.0678797227642,21.4226302585481,0.0666229335462416,0.0261396024817507,0.00826039911752723,0.0720425449702585
55,3.02424522989347,15.3976108300644,0.0646250689443335,0.0177978104718794,0.00341427875423218,0.0671179476225577
60,4.85097894486766,8.78294557403488,0.0588478214809814,0.00909218872347913,0.00499432267350366,0.0597551441116821
65,10.6819657028221,0.137392291678339,0.0503769040091948,0.000120801420535725,0.00950239315744731,0.0512654125727428
70,21.4682588944606,-13.6094085047285,0.03942470384715,-0.00954469273455538,0.0155045796472724,0.0434258036525655
75,43.5459990011488,-40.221381115744,0.0243241576386185,-0.0205710711449445,0.0231199061392881,0.0393619571765457
80,89.4727437218806,-89.4540954271323,-0.00029843713207432,-0.0313217209481272,0.0324295909831711,0.0450867789846416
85,43.1540890647405,-39.4605672005675,-0.0442515236485357,-0.0364270194236459,0.0414882694637899,0.0707559297331865
90,22.1255517363163,-14.7882929513268,-0.113160578415309,-0.0298735800351365,0.0460085428121217,0.125755847987669
95,11.8681041661231,-3.14554178942636,-0.199363986861228,-0.0109561045431927,0.0418966831070899,0.204013155309508
100,5.95911270027749,3.03787352066753,-0.284460088175165,0.0150964776573291,0.0296927370743331,0.286403743057325
