"PercentStance","InterpV.N","InterpML.N","InterpHz.N"
0,0.0296970211752367,-0.00140866174276931,-0.0145156445755438
1,0.0318121157688586,-0.00205991351039034,-0.0132831076428357
2,0.0338916846791003,-0.00261933898035116,-0.0114848313225985
3,0.0359113316317916,-0.00307259313642833,-0.00911306572089293
4,0.0378567127208212,-0.00340593511761086,-0.00619971959829987
5,0.0397497661200485,-0.0036032029302392,-0.00281098067308831
6,0.0415885257942994,-0.00368349225320225,0.00094740544114926
7,0.043369153272597,-0.00368463898748248,0.00493632616594538
8,0.0451287723542803,-0.00363214105027943,0.00900013471580377
9,0.0468854766265169,-0.00356239696675057,0.0129755011409803
10,0.048626882690767,-0.00352219125269794,0.0166955810091995
11,0.0503750780744879,-0.00353346204669604,0.0200060807693360
12,0.0521608470537278,-0.00360930714729358,0.0227814892011236
13,0.0539803388178049,-0.00377650975517550,0.0249290866234825
14,0.0558498225478987,-0.00404536506068383,0.0263926775784888
15,0.0578123564728962,-0.00440989006643378,0.0271558158046776
16,0.0598822455539745,-0.00488091726410269,0.0272350577292506
17,0.0620795123784284,-0.00546655317810484,0.0266738490562211
18,0.0644617465054923,-0.00615395887013771,0.0255436777187017
19,0.0670555934014283,-0.00694209383980379,0.0239339787672991
20,0.0698479197315812,-0.00783910281964404,0.02193963430989
21,0.0728360444284046,-0.00883352926634824,0.0196625227564707
22,0.0759976724052841,-0.00991513669921263,0.0172084161328017
23,0.079276261545393,-0.0110898837818387,0.0146760688202263
24,0.082650045157774,-0.0123454390819298,0.0121598190929608
25,0.0861187795643658,-0.0136552347887070,0.00975417349450414
26,0.0896393663709418,-0.0150081248173159,0.00754126716658084
27,0.0931654931928882,-0.0163839474025604,0.00558369836541585
28,0.0966756734128388,-0.017741675024877,0.00392744169326844
29,0.100118342711263,-0.0190529165431393,0.00259669656544183
30,0.103436656664846,-0.0202948719516726,0.00158869232631303
31,0.10662772718025,-0.0214270633238960,0.00088332227737622
32,0.109696566500981,-0.0224227946880845,0.000453981006857871
33,0.112629999334671,-0.023280134206319,0.000266986777046240
34,0.115454694297989,-0.0239909249639140,0.000289692293327529
35,0.118216008347888,-0.0245515881980776,0.000495289197773112
36,0.120926342986914,-0.0249858479179723,0.000853863907745807
37,0.123608977627061,-0.0253154187940950,0.00133390651071049
38,0.126304924922056,-0.0255529177322771,0.00190586268689070
39,0.129008795548218,-0.0257313359023638,0.00253966181670191
40,0.131693760750884,-0.0258874620035124,0.00320315284055037
41,0.134360629600447,-0.0260366938934139,0.00386991742214876
42,0.136985776242749,-0.02619920709093,0.00452498781803029
43,0.139517983010644,-0.0263982381722081,0.00516022800939288
44,0.141946724402958,-0.0266258527700448,0.00577629346253948
45,0.144271364441078,-0.0268609899196873,0.00637876355715177
46,0.146456438801978,-0.0270928572620215,0.00696761069998756
47,0.148488507212832,-0.0272949505837220,0.00753921532493125
48,0.150382799387793,-0.0274289178697822,0.00809359775929959
49,0.152122959592064,-0.0274782977737886,0.00862959933904746
50,0.153688727376015,-0.0274304760695180,0.00914295147174773
51,0.155090515744687,-0.0272611202545671,0.00963333792485194
52,0.156319487350141,-0.0269703743817634,0.0101023267780894
53,0.157354366333722,-0.0265813658716869,0.0105439990447379
54,0.158219919700807,-0.0261064372073507,0.0109485527039824
55,0.158948036611828,-0.0255659040543903,0.0113114027813816
56,0.159547669090551,-0.024999718784331,0.0116310055982708
57,0.160061244746841,-0.0244346751444524,0.0119122179897984
58,0.160545325085424,-0.0238901961747085,0.0121700509028532
59,0.161009629196824,-0.0234079089002661,0.0124217284334372
60,0.161459768011993,-0.0230267118799501,0.0126833520852814
61,0.161923751359521,-0.0227679341821457,0.0129729004637761
62,0.162391790346982,-0.0226618613411218,0.0133042852398500
63,0.162839601244877,-0.0227338132266605,0.0136871449482966
64,0.163288224676027,-0.0229725973497481,0.014132243327339
65,0.163750564785820,-0.0233579776463264,0.0146489901030547
66,0.164200126812285,-0.0238718343326759,0.0152348223684018
67,0.164623638778721,-0.0244713341153042,0.0158791702246853
68,0.165003081122266,-0.0251088260755796,0.0165691067282902
69,0.165276460729832,-0.0257623136837695,0.0172893231592505
70,0.165399786304972,-0.0264103459320245,0.0180325798673209
71,0.165377746343554,-0.0270276032812957,0.0188083598860397
72,0.165217434731860,-0.0276189776471521,0.0196339751915505
73,0.164956804583238,-0.0282039527935215,0.0205288540087315
74,0.164701153772282,-0.0287956244394777,0.0215190350946324
75,0.164560588347021,-0.0294356430318865,0.0226387694443900
76,0.164631500656190,-0.0302002694215476,0.0239062119819556
77,0.165036096631838,-0.0311462097563519,0.0253123580310673
78,0.165837179375029,-0.0322793561860572,0.0268538929733612
79,0.166989038256151,-0.033596259506659,0.0285060906005981
80,0.168406318952004,-0.0350639246060236,0.0302759040559715
81,0.169975428279696,-0.0366294116663896,0.0321528114712801
82,0.171575057071998,-0.0382652384841139,0.0341185638956581
83,0.173149470616070,-0.0399468133595595,0.0361537051752306
84,0.174715727732641,-0.0416408383311849,0.0382333981584023
85,0.176272340508525,-0.0433204967082503,0.0403273902056481
