"PercentStance","InterpV.N","InterpML.N","InterpHz.N"
1,-0.030090863448575,0.0247065273865358,-0.0196680444480629
2,-0.00247771800294592,0.0224608356141301,-0.0135601322065849
3,0.0268021133545717,0.020017721827656,-0.00677749373470892
4,0.0553828020202887,0.0178413670073292,0.000290383597675651
5,0.0807094830899388,0.0164217710266264,0.00714771374860974
6,0.100468783680281,0.0160153184031736,0.0132705245920443
7,0.113208501236636,0.01654544120357,0.0182591643897151
8,0.118798887387854,0.017631998628485,0.0219797894164474
9,0.118148393647615,0.0187639797141486,0.0244498483012991
10,0.11262159822976,0.0196237072982956,0.0257266229689011
11,0.10344240421494,0.0202277194968796,0.0260213325548357
12,0.0915292491436081,0.020855729689904,0.0256128194122034
13,0.0777919413940765,0.0219100033754483,0.024775460007477
14,0.0632208924448348,0.0236671621225547,0.0238358735209638
15,0.0489097117308532,0.0261717367776284,0.0230995981426918
16,0.0357649762063141,0.0292887279139841,0.0227336543491833
17,0.0241958258286039,0.0327548729050305,0.0228427885162667
18,0.0143535399631607,0.0362179233673423,0.023467383789546
19,0.00631979139984859,0.0394041428504462,0.024574978877462
20,-9.99292250516014e-05,0.0421898115563564,0.0260420956380923
21,-0.00515580908394357,0.0444953012285721,0.0275953246367771
22,-0.00910131190689212,0.0462505872180806,0.0288639304549623
23,-0.0121068924623338,0.0474151608840357,0.0295750564321979
24,-0.0142919609872227,0.0479321409418594,0.0295574416350123
25,-0.015860146950495,0.0478359808404592,0.0287097549487567
26,-0.0169952550998185,0.0473229125956936,0.0271027639783278
27,-0.0177988905366741,0.0466154508613817,0.0249636349002127
28,-0.0182439149906231,0.0458880276561473,0.0225710642811933
29,-0.0182820027056973,0.0452662929846739,0.0202462514908238
30,-0.017851897867074,0.0447562280526236,0.0183312093189575
31,-0.0168336642719581,0.0442339099472623,0.0171329575038861
32,-0.0149224621607333,0.0434915120412853,0.0168593766911972
33,-0.011867839948928,0.0422129543976724,0.0176247324907391
34,-0.00750712480500408,0.0400462147807954,0.0195029727471714
35,-0.00171407566733969,0.0367078516811717,0.0225042509011008
36,0.00578520972004734,0.0319847242801181,0.026577243783521
37,0.0152296886354464,0.0257383710822476,0.0314907270915982
38,0.0264505051315949,0.0179645860145997,0.0368252845044212
39,0.0390741909537048,0.00879807768721986,0.0421424178608996
40,0.0527487029674351,-0.00147162949872123,0.0470734043414399
41,0.0669951880097071,-0.0123843956135362,0.0512915325374571
42,0.0812150251187026,-0.0234436027049137,0.0545556320356456
43,0.0949570889898041,-0.034202305440204,0.0568193796653971
44,0.107972738631511,-0.0442721354837288,0.0581767897924163
45,0.120415891493959,-0.0533953760539557,0.0588348978905811
46,0.132480735182886,-0.0614478612936882,0.0590359763930424
47,0.144333726285194,-0.0683505940485458,0.0590033242537134
48,0.156270825580709,-0.0741712754558177,0.0589018510082791
49,0.168449019664437,-0.0791587257094017,0.0588425898132617
50,0.180858400001202,-0.0836870914029101,0.0588596214347093
51,0.193566405859497,-0.0882293569958081,0.0589468900064592
52,0.206498054657118,-0.093255664513948,0.059096676031473
53,0.219542373060558,-0.0989999968895684,0.0592559614299824
54,0.232452850124069,-0.105395703356264,0.0593166999952423
55,0.244989967771137,-0.112231216872871,0.0592549841276974
56,0.257043304085204,-0.119261683538889,0.0591651958430664
57,0.268592912847225,-0.12627529573571,0.0591709528391466
58,0.279823532308681,-0.133098969583373,0.0594267917696014
59,0.290997232089847,-0.139583235027687,0.0600527568154745
60,0.302351784487671,-0.145654737718464,0.0610867019873401
61,0.314258299554504,-0.151348117483166,0.0625786373877573
62,0.327083441496532,-0.156727208005488,0.0645298214425082
63,0.34094740967826,-0.161893078909176,0.0668127548035358
64,0.355780865547512,-0.166910192056591,0.069345308425573
65,0.371306077004843,-0.171772136299538,0.0720758337116889
66,0.38731098700428,-0.176465795611731,0.0749105086445006
67,0.403546330021662,-0.180906020442476,0.0777679373116906
68,0.419494470497095,-0.184784298727242,0.0805119130678305
