"PercentStance","InterpV_N","InterpML_N","InterpAP_N","GRF_Vert_Sq","NetGRF_N","MLAngle_deg","MLAngle_Convert_deg","APAngle_deg","APAngle_Convert_deg","InterpV_BW","InterpML_BW","InterpAP_BW","NetGRF_BW","filename"
69,0.289741994434862,-0.0402584019036436,-0.00924716439925666,0.0839504233390917,0.292671611729518,97.9103556608617,-7.9103556608617,91.8279839434107,-1.82798394341071,0.484680485839515,-0.0673442654794975,-0.015468659082062,0.489581150434122,"af01f32"
67,0.281979109155085,-0.0292005282137923,0.022269635450874,0.0795122179998952,0.284360379643463,95.9122276460426,-5.91222764604261,85.484370469944,4.51562953005603,0.471694729265782,-0.048846651411496,0.0372526521426463,0.475678119176084,"af01f34"
71,0.251986533414406,-0.0302122927245937,0.0302675692734217,0.0634972130222097,0.25558975214904,96.8369250155871,-6.83692501558713,83.1506848405895,6.84931515941051,0.421523140539321,-0.0505391313559614,0.0506315979816355,0.427550605803011,"af01f35"
66,0.31493103236923,-0.0241791285433596,-0.0291272533678072,0.099181555149149,0.317198017482799,94.3903249780081,-4.39032497800812,95.2841235094884,-5.28412350948842,0.510092375071639,-0.0391628256290243,-0.0471772811269958,0.513764200652411,"af01f40"
73,0.210930603867841,-0.0220445482757665,0.0170914825625852,0.044491719648052,0.212767009973167,95.9663740422169,-5.9663740422169,85.3675047218571,4.63249527814287,0.341643349316231,-0.0357054555810924,0.0276829973478866,0.344617768016143,"af01f41"
62,0.228777021913272,-0.017523489532906,0.0451087601583052,0.052338925755506,0.23383925821798,94.3800961028535,-4.38009610285346,78.8458710777176,11.1541289222824,0.370549112266395,-0.0283827170924944,0.0730624557147801,0.378748393615129,"af01f43"
55,0.321718654166412,-0.0295159711210696,-0.0648111365714432,0.103502892438647,0.329506552914429,95.2419079431594,-5.24190794315936,101.389950067459,-11.3899500674586,0.521086255533547,-0.0478068855216546,-0.104974306076196,0.533700280068722,"af01f45"
71,0.315392211456249,-0.00822123746081712,-0.0286769359835488,0.0994722470472636,0.316799940735562,91.493174366278,-1.49317436627797,95.1953147892288,-5.19531478922879,0.510839344762309,-0.0133159012970799,-0.0464479040873806,0.513119437537353,"af01f46"
65,0.254859521478119,-0.00499450507825923,0.0322433224814092,0.0649533756880559,0.256939589424582,91.122686863482,-1.12268686348203,82.789582839898,7.21041716010195,0.48159395592993,-0.00943784028393656,0.0609284249459735,0.485524545397925,"af01f65"
70,0.288038899741595,-0.0134420651710595,0.00520232874858358,0.0829664077643488,0.288399308433325,92.6719141845943,-2.67191418459427,88.9652818541523,1.03471814584775,0.544291193767187,-0.0254007278364691,0.00983055319082309,0.54497223815821,"af01f68"
61,0.2844622251734,-0.0592768174038821,-0.00924120223630996,0.0809187575506021,0.290719621716367,101.770963240794,-11.7709632407936,91.860689009189,-1.86068900918897,0.475848486405821,-0.0991582760185382,-0.015458685574289,0.486315861017677,"af04f47"
58,0.27595113722024,-0.0602313141255828,-0.0322186497176617,0.0761490301331436,0.284279585485957,102.312731451041,-12.3127314510406,96.6594129757626,-6.65941297576263,0.454165795293351,-0.0991298784160349,-0.05302608577627,0.467872918837981,"af04f63"
63,0.263896049293707,-0.0633181985867301,-0.0149915392734697,0.0696411248328267,0.271799678724761,103.492273424208,-13.4922734242082,93.2513927783879,-3.25139277838794,0.434325295085101,-0.104210333421215,-0.0246733694428402,0.447333243457474,"af04f64"
65,0.312847535107432,-0.0536724283799589,0.00301798087326624,0.097873580222796,0.317432540864274,99.7349480200142,-9.73494802001422,89.4472956196645,0.552704380335541,0.498800279189146,-0.0855746625955978,0.00481183174946785,0.506110556224927,"af04f76"
57,0.300574984939143,-0.0792950788457806,-0.0345376770225824,0.090345321571166,0.312771293814571,104.778570102229,-14.778570102229,96.554844678913,-6.55484467891303,0.47923307547695,-0.126427102751563,-0.0550664493344745,0.498678721005375,"af04f79"
62,0.282865682874831,-0.0569823793199302,-0.00814075214211353,0.0800129945482446,0.288662879405448,101.389616069988,-11.3896160699877,91.648492751638,-1.648492751638,0.450997581114208,-0.0908520078442764,-0.0129795155327065,0.460240560276544,"af04f83"
60,0.284877769221898,-0.056643777447193,-0.0640106980187469,0.0811553433968449,0.297424327150923,101.245756374693,-11.2457563746932,102.66376603054,-12.6637660305397,0.454205626948179,-0.0903121451645296,-0.102057873116625,0.474209705278895,"af04f85"
59,0.307793899674587,-0.0678389429338053,-0.0295196177845085,0.0947370846768899,0.316560601922301,102.42948421821,-12.42948421821,95.47831575987,-5.47831575987003,0.490742824736268,-0.108161579932725,-0.0470657171309129,0.504720347452648,"af04f89"
60,0.283870438427716,-0.0594261968873953,-0.0289994145935326,0.0805824258131438,0.291470178125329,101.823703139202,-11.8237031392024,95.8329426151524,-5.83294261515236,0.452599551064598,-0.0947484006495461,-0.0462363115330559,0.464716482980435,"af04f96"
