"PercentStance","InterpV_N","InterpML_N","InterpAP_N","GRF_Vert_Sq","NetGRF_N","MLAngle_deg","MLAngle_Convert_deg","APAngle_deg","APAngle_Convert_deg","InterpV_BW","InterpML_BW","InterpAP_BW","NetGRF_BW"
38,0.0415808677143193,-0.019141436899359,0.0127804930040516,0.00172896855987572,0.0475258263250043,114.718620521937,-24.7186205219373,72.9144171395043,17.0855828604957,0.202045032625458,-0.0930098974701602,0.0621015209137591,0.230932100704588
39,0.0420418618092724,-0.0201021957032271,0.0122763891676211,0.00176751814438996,0.0481905192696207,115.554661421294,-25.554661421294,73.7219877540403,16.2780122459597,0.204285042805017,-0.0976783075958558,0.0596520367717253,0.234161901212929
40,0.0425185347079457,-0.0207924961057157,0.0120459574680232,0.00180782579371079,0.0488391111645003,116.059647441496,-26.0596474414957,74.1820044445411,15.8179955554589,0.206601237647938,-0.10103253695683,0.0585323492129409,0.23731346532799
41,0.042931129890029,-0.0211506558092801,0.0120797777985636,0.00184308191363454,0.049359428546731,116.227844102847,-26.2278441028469,74.2846869172578,15.7153130827422,0.208606073323756,-0.102772865934306,0.0586966851242159,0.239841732491404
42,0.0432124988455723,-0.0211349131818471,0.012340257948391,0.00186732005647859,0.0496617214554191,116.062914540622,-26.0629145406224,74.0621681708628,15.9378318291372,0.209973269414831,-0.102696371146002,0.0599623807016085,0.241310599880559
43,0.0432839626674739,-0.0207884450185105,0.0128247413584502,0.00187350142419927,0.0497004513198628,115.654068301413,-25.6540683014125,73.4958046855665,16.5041953144335,0.210320518306481,-0.101012852373715,0.0623165274948988,0.241498791641705
44,0.0431036454926062,-0.0201332164746667,0.0134641869951323,0.00185792425475227,0.0494424411999241,115.036736595886,-25.0367365958859,72.6528809841,17.3471190159,0.209444341557853,-0.097829040207321,0.0654236491503025,0.240245098153178
45,0.0425739134168614,-0.0192630897720104,0.0142604074405842,0.00181253810362641,0.0488565650814956,114.34495776213,-24.3449577621302,71.4813933577111,18.5186066422889,0.206870327584361,-0.093601019300342,0.069292553161245,0.23739827542029
46,0.0417004910247097,-0.0182093127176768,0.0151152201583311,0.00173893095170189,0.0479476787945658,113.589403170687,-23.589403170687,70.0758861578698,19.9241138421302,0.202626292637073,-0.0884806254503246,0.0734461620910159,0.232981918340942
47,0.0404847948810885,-0.0170444482516554,0.0160181109338588,0.00163901861656381,0.0467558735417977,112.831512956176,-22.8315129561764,68.4134020922662,21.5865979077338,0.196719119927544,-0.0828204482587726,0.0778333864618988,0.227190833536432
48,0.0389920493270119,-0.0157687568112388,0.0168784414702991,0.00152037991072013,0.0453201432980792,112.018877900459,-22.0188779004594,66.5937192141314,23.4062807858686,0.189465740170126,-0.0766217532130163,0.0820138069499471,0.220214496103397
49,0.0372966803349714,-0.0144066030218989,0.0177015536671251,0.00139104236400904,0.0437257084204446,111.120070001429,-21.1200700014288,64.6102955151335,25.3897044848665,0.181227795602388,-0.0700029301355631,0.0860133803067302,0.212466999127525
50,0.0355226687980372,-0.0129553318365816,0.018463163127548,0.00126185999853505,0.0420783675325629,110.037218097221,-20.0372180972215,62.536519557527,27.463480442473,0.172607720107081,-0.0629510779231372,0.0897141065478521,0.204462427271928
