"PercentStance","APAngle.Convert","MLAngle.Convert","InterpV.BW","InterpML.BW","InterpHz.BW","NetGRF.BW"
0,-31.6306531225702,-28.9916954632818,0.225310214643979,-0.124848803907903,-0.13877798579392,0.292593995155689
1,-30.1848179404346,-28.3194823403705,0.226506195771442,-0.122060387547213,-0.13174941662902,0.28907041307113
2,-28.7541640715084,-27.6322342598365,0.227537419559662,-0.119116733742795,-0.124852817823958,0.285570130924094
3,-27.3471737809456,-26.9406255947147,0.228387115830841,-0.116071088256941,-0.118117615170306,0.282108034660839
4,-25.9742809018336,-26.2423397578391,0.229084894351001,-0.112934094038218,-0.111604902011508,0.278728636076454
5,-24.6482986137304,-25.5292463725542,0.229685428548706,-0.109698279781374,-0.105392492824312,0.275493532080733
6,-23.3762533506871,-24.8057069771519,0.230217348179466,-0.106403177064599,-0.0995106800201272,0.272440890708964
7,-22.1586671130523,-24.0868195251304,0.23068085087951,-0.103124852962427,-0.093945042413482,0.269581270223078
8,-20.9946955801403,-23.3850483305792,0.231078606118219,-0.0999250568405498,-0.0886782215474112,0.266919774776875
9,-19.8901190504152,-22.6996876139227,0.23145146886915,-0.0968167639860684,-0.0837391194432155,0.264491036437053
10,-18.8573424321292,-22.0217034229904,0.231873566560911,-0.0937851880193739,-0.0791952455195378,0.262360247130556
11,-17.9043987077087,-21.3506803614308,0.232402863115873,-0.09084698967359,-0.0750837833330606,0.260579816633627
12,-17.0311535222323,-20.6973913592555,0.233068667797539,-0.0880571842266621,-0.0713948377812833,0.259176184215803
13,-16.2326212573421,-20.0751686655479,0.233883224211343,-0.0854741875836416,-0.0680937824747629,0.258154919616686
14,-15.5110283214001,-19.4846804618179,0.234877222693691,-0.0831037176922419,-0.0651859075798553,0.257532017779505
15,-14.8768435907602,-18.9178853023996,0.236094202322841,-0.0809154591641747,-0.062717646705485,0.257334970632601
16,-14.3381115192175,-18.3708716059746,0.237555465684946,-0.0788900738262311,-0.0607204392217923,0.257571766240765
17,-13.8926848459975,-17.8513251287541,0.239243463987489,-0.0770491454578655,-0.0591743568874014,0.258216208611229
18,-13.5297900536197,-17.3731618990864,0.241114624434793,-0.0754367283148926,-0.0580191059073378,0.259216470822116
19,-13.243221692539,-16.9392677556369,0.243145087323832,-0.0740551858903979,-0.0572227091684877,0.260534340330707
20,-13.0329847967776,-16.5411054732441,0.245340318360073,-0.0728646112228025,-0.0567900642316992,0.262156889623585
21,-12.8987465352878,-16.1668452951257,0.247712151541154,-0.0718116192612953,-0.0567279528463928,0.264076275564882
22,-12.8293348946639,-15.8144495629505,0.250241349637078,-0.0708793315304544,-0.0569881898920939,0.266256016821344
23,-12.804732376947,-15.4893417326583,0.252883944879959,-0.0700802674413505,-0.0574757882891787,0.268635440145495
24,-12.8082314570561,-15.1907536753098,0.255609060753741,-0.0694031518470522,-0.0581115728943666,0.271163685492678
25,-12.8325678965384,-14.9085357255649,0.258417427100774,-0.0688007862129136,-0.0588654898071121,0.273821585531766
26,-12.8768612889228,-14.6290841163661,0.261327828500091,-0.0682124734968751,-0.059741000591072,0.27661193510179
27,-12.9334443269834,-14.3493320297823,0.264328994625864,-0.0676190450721399,-0.0607018289917335,0.279511832843137
28,-12.9875806503969,-14.0749343600755,0.267385110591124,-0.067038155858623,-0.061669672694533,0.282474884258766
29,-13.0259972978287,-13.811057931858,0.270460356561801,-0.0664867851122065,-0.0625699660008091,0.285454545788705
30,-13.0465904645918,-13.5547658340815,0.273546392096875,-0.0659492800611338,-0.0633874968165852,0.288435280301269
31,-13.0567881842703,-13.2985683201012,0.276658579334648,-0.0653920175930144,-0.0641605548713805,0.291432088634306
32,-13.0597190756789,-13.0415668826344,0.279789101962654,-0.0648082397445684,-0.0649016440735612,0.294438912033224
33,-13.0512040389626,-12.7918531448403,0.282902498812981,-0.0642315700465564,-0.0655795427859076,0.297422586326734
34,-13.0245708749406,-12.5618352579541,0.28595341141484,-0.063718199541114,-0.0661467248025678,0.300341058889145
35,-12.9815617114861,-12.3564013365522,0.288925406668467,-0.0632939262552701,-0.0666057587503679,0.303183671753706
36,-12.9315527511038,-12.1741402557513,0.291833612335742,-0.0629588011712857,-0.0670079839300534,0.305975060820688
37,-12.8818415930025,-12.0151717636306,0.294684054631608,-0.0627185910319292,-0.067393374022569,0.308729947652153
38,-12.8321553602918,-11.8875448355577,0.297440868270034,-0.0626130950524586,-0.0677524749421639,0.311419118953973
39,-12.7771554765491,-11.8043211583283,0.300039353534804,-0.0627051031499766,-0.0680414757516921,0.313982779867145
40,-12.7172530190239,-11.7704086411041,0.302435660594178,-0.0630191038891945,-0.0682525214191555,0.3163813251981
41,-12.6598741262731,-11.7820691778964,0.304623243073332,-0.0635396245207629,-0.0684256769721332,0.318613680456205
42,-12.6134162823283,-11.8334243965706,0.306615991098309,-0.064242116429967,-0.0686121819723211,0.320699309378119
43,-12.5775458634478,-11.9262633944731,0.308403485134983,-0.0651384668204316,-0.0688094557517479,0.322630548311799
44,-12.5451822456017,-12.0680313723533,0.309952440081111,-0.0662671785499868,-0.0689712814794664,0.32437461635296
45,-12.5124895811914,-12.2617046776371,0.311238949476809,-0.0676431819904352,-0.069071197047452,0.325908137368165
46,-12.4838891460061,-12.5022911986764,0.312265366376322,-0.0692406660633379,-0.0691354502012833,0.327236366178283
47,-12.4688257056008,-12.7805206997535,0.313050901732787,-0.0710115044585948,-0.0692230350168703,0.328382900617756
48,-12.4699443007342,-13.0934504921455,0.313584611571678,-0.0729356388461068,-0.0693474725565654,0.329338713148688
49,-12.4823647284169,-13.4447737953607,0.313826064326059,-0.0750231207377995,-0.0694722292964718,0.330063112054412
50,-12.5005977995968,-13.837866956164,0.313727492439691,-0.0772787514934748,-0.0695551447820864,0.330506978913523
51,-12.5270798940327,-14.2671768413373,0.313270048998254,-0.0796604382023691,-0.0696056530011651,0.330649143267725
52,-12.5697340988421,-14.7204194237974,0.31247126825228,-0.0820943385973019,-0.0696723172798691,0.330502656128606
53,-12.6299046473255,-15.1884452567879,0.311346725313859,-0.084523613061629,-0.0697648803049412,0.33007296625537
54,-12.6994402316724,-15.668693686296,0.309906406703741,-0.0869280790328889,-0.0698372435830132,0.329356512660135
55,-12.7665457843667,-16.1623461258311,0.308167265099597,-0.0893112920532143,-0.0698246875635666,0.32835812333568
56,-12.8266699927844,-16.6634763541778,0.306179570137855,-0.0916455697312827,-0.069712184218138,0.327115619085418
57,-12.8828398578398,-17.1599805063156,0.304022884471354,-0.0938781544325174,-0.069534710919407,0.325696328171786
58,-12.9363342981454,-17.6405986392075,0.301773094360564,-0.0959634649025846,-0.0693167030488721,0.324161676324678
59,-12.9797685299389,-18.1019674428626,0.299471456639373,-0.0978937419590822,-0.0690270612382077,0.322538483346782
60,-12.9998293330445,-18.5484769813509,0.297137130449936,-0.0997003205224267,-0.0685985795663968,0.320837019875862
61,-12.9908956041958,-18.9802192485931,0.294805723247787,-0.101395919080696,-0.0680119238927917,0.319088026502827
62,-12.9556927141854,-19.3906223910147,0.292539161706543,-0.102965486584975,-0.0672997489953037,0.317348875489544
