"PercentStance","APAngle.Convert","MLAngle.Convert","InterpV.BW","InterpML.BW","InterpHz.BW","NetGRF.BW"
16,12.7500503779722,-17.8261781208512,0.449326445282557,-0.144489429527746,0.101672609646353,0.482813389652578
17,12.9212167915715,-17.8992281166475,0.455587465541677,-0.147143964002183,0.104521028683517,0.490036662238679
18,13.0825945593439,-17.9073900572193,0.461275818807431,-0.149053735214241,0.107194540289156,0.496470609870904
19,13.2499464228432,-17.8625905070198,0.466246375521310,-0.150257367606716,0.109785988038332,0.502011874736456
20,13.4342466615768,-17.7759033635762,0.470371544755086,-0.150801596774880,0.112355456499376,0.506571081202157
21,13.6417858740786,-17.6542748681663,0.473575769704364,-0.150720980554055,0.114935694624993,0.510099046783256
22,13.8769461230959,-17.5055623685853,0.475791573517455,-0.150067291036732,0.117543363607374,0.512556587702719
23,14.1407268356423,-17.3403220671636,0.476946831802323,-0.148920691016705,0.120161239969023,0.513901134626165
24,14.4304730547215,-17.1660002934223,0.47702021295512,-0.147352288144382,0.122748441559094,0.514128544523953
25,14.741963088648,-16.9864262032282,0.476045629495529,-0.145418443315031,0.125260953683201,0.513279915383007
26,15.0710200301488,-16.8067843660784,0.474052966875813,-0.143186280305867,0.127652111780386,0.51139376992058
27,15.4124266568757,-16.6325682141178,0.471077212609619,-0.140725833911804,0.129866210835130,0.508510307945567
28,15.7596404869572,-16.4642774789985,0.46720672277133,-0.138076144021900,0.131850791641570,0.504709594328453
29,16.1067575538658,-16.2998748139531,0.462548228833211,-0.135257470698730,0.133566786643045,0.500085526555915
30,16.4491466146929,-16.1397371143343,0.45716629402261,-0.132297818699701,0.134977577008461,0.494694531522374
31,16.7829077776206,-15.9829969485798,0.451112053540783,-0.129209433151592,0.136051931417798,0.488576801033011
32,17.1035737182057,-15.8234876701772,0.444468069567918,-0.125968602646371,0.136766579547177,0.481793577166762
33,17.4078257044877,-15.6541491490313,0.437303477978125,-0.122542947788042,0.137108200430117,0.474394102545059
34,17.6938055624799,-15.4704079975214,0.429640644144622,-0.118910963984453,0.137064640878175,0.466387838859227
35,17.960600271634,-15.2653099543588,0.421499710607514,-0.115035019435593,0.136633183191428,0.457781267078271
36,18.2076252834101,-15.0282167661801,0.412919009693772,-0.110859296505606,0.135821759644318,0.448597194129747
37,18.4362911526832,-14.7513455674373,0.403897524792291,-0.106347486926381,0.134643022280752,0.438829969302224
38,18.6487590560749,-14.4309797434951,0.394397840387164,-0.101491494226963,0.133103292730946,0.428446807011442
39,18.8466341151395,-14.0612985609098,0.384421732635127,-0.0962840645439,0.131217078503952,0.417454921277016
40,19.0303331560604,-13.6357517802519,0.374013069292814,-0.0907303597389995,0.129004551512116,0.405906329700637
41,19.2005718382668,-13.1541744082322,0.363195541975709,-0.084880335764287,0.126482133755300,0.393844389663965
42,19.3585355051183,-12.6214766297041,0.352001066788154,-0.0788201078196881,0.123672884762972,0.381329703592968
43,19.5037123136786,-12.0417377830745,0.340526142195107,-0.0726403738409456,0.120611462105845,0.368485823636872
44,19.6342048237619,-11.4220311682801,0.328894479251145,-0.0664483770267304,0.117335344604006,0.355463849617242
45,19.7496748839474,-10.7786156810674,0.317206945873316,-0.0603877715922457,0.113886898842139,0.342399116815499
46,19.8498396887843,-10.1314207828958,0.305576000052474,-0.0546042866242553,0.110314487253988,0.329435283513961
47,19.931158416332,-9.49859792332437,0.294158613767151,-0.0492178700509767,0.106664898050726,0.31674767443809
48,19.9899823344287,-8.90281402398303,0.283102191540017,-0.0443468654624914,0.102984719395560,0.304498518485873
49,20.0243069115088,-8.37404558768748,0.272507484288911,-0.0401142777952144,0.0993155555198447,0.292802089891309
50,20.0315474935304,-7.9391349083058,0.262472860518881,-0.0366038660509163,0.0956960060464507,0.281761550059762
51,20.0073427031498,-7.61839555059048,0.253115397164024,-0.0338555208973206,0.0921632071350373,0.271491541905354
52,19.9489042894285,-7.43311639164277,0.244517336307235,-0.0319009805869825,0.08875016747023,0.262074402685937
53,19.8548087560549,-7.40486155720039,0.23672572678753,-0.0307657291125169,0.0854823958514915,0.253560327755389
54,19.7208887882075,-7.54232950863698,0.229812872385470,-0.0304281814991121,0.0823794596054437,0.24602074284151
55,19.5409164380369,-7.84052512312084,0.223870300936649,-0.0308277462288630,0.079456596578086,0.239544593591234
56,19.3115250975239,-8.2908317246334,0.218944231799082,-0.0319047296730317,0.0767226248684139,0.234181232340037
57,19.0318467879145,-8.87859946696467,0.215047174949152,-0.0335932018239534,0.0741804077054703,0.229948958575041
58,18.7010926673406,-9.5756212721116,0.212206636200088,-0.0357991979866245,0.0718324941559796,0.226876940742136
