"Sweep","GRF0SumVN","GRF0SumMLN","GRF0SumHzN","FilterVN","FilterMLN","FilterHzN"
24653,0.000551923076923077,-0.0125658362637363,0.00600064615384615,0.0136914491590099,-0.0029835093121476,0.00111088836577101
24654,-0.00231807692307692,-0.0177694362637363,0.0102972461538462,0.013798355392662,-0.00300266748856746,0.0011460374877592
24655,-0.00375307692307692,-0.0216721362637363,0.0117294461538462,0.0139057315575767,-0.00302184417368364,0.00118143049103697
24656,-0.000883076923076923,-0.0229730362637363,0.0145938461538462,0.0140135752604777,-0.00304103910774945,0.00121706711323434
24657,-0.00303557692307692,-0.0281766362637363,0.0160260461538461,0.0141218840181938,-0.00306025212957879,0.00125294715174819
24658,-0.00303557692307692,-0.0320793362637363,0.0188904461538462,0.0142306552570634,-0.00307948319485986,0.00128907047591043
24659,-0.00734057692307692,-0.0333802362637363,0.0217548461538462,0.0143398863098578,-0.00309873239581651,0.00132543703915498
24660,-0.00734057692307692,-0.0333802362637363,0.0274836461538462,0.0144495744072515,-0.00311799997862326,0.00136204689365628
24661,-0.00662307692307692,-0.0359820362637363,0.0289158461538462,0.0145597166678022,-0.00313728635408117,0.00139890020892349
24662,-0.00518807692307692,-0.0333802362637363,0.0246192461538462,0.0146703100928851,-0.00315659210335184,0.00143599728890931
24663,0.000551923076923077,-0.0294775362637363,0.0174582461538462,0.0147813515700484,-0.00317591797874932,0.00147333857526871
24664,0.00485692307692308,-0.0229730362637363,0.00886504615384615,0.014892837885783,-0.00319526489419898,0.00151092462934802
24665,0.0156194230769231,-0.0112649362637363,-0.00545695384615385,0.0150047657486965,-0.00321463390131974,0.00154875609488316
24666,0.0242294230769231,-0.000857736263736264,-0.0169145538461538,0.0151171318240828,-0.00323402614978217,0.00158683364486902
24667,0.0314044230769231,0.0147530637362637,-0.0255077538461538,0.0152299327779051,-0.00325344283284061,0.00162515791853547
24668,0.0392969230769231,0.0199566637362637,-0.0341009538461538,0.015343165323007,-0.00327288512388009,0.00166372945980565
24669,0.0443194230769231,0.0238593637362637,-0.0383975538461538,0.015456826261604,-0.0032923541170064,0.00170254866515062
24670,0.0486244230769231,0.0277620637362637,-0.0383975538461538,0.0155709125223213,-0.00331185078425869,0.00174161574380765
24671,0.0464719230769231,0.0277620637362637,-0.0383975538461538,0.015685421188557,-0.00333137594944472,0.00178093069382463
24672,0.0464719230769231,0.0316647637362637,-0.0383975538461538,0.0158003495134622,-0.00335093027141039,0.00182049329294129
24673,0.0436019230769231,0.0277620637362637,-0.0355331538461538,0.0159156949215384,-0.00337051423314956,0.00186030309787736
24674,0.0400144230769231,0.0238593637362637,-0.0298043538461538,0.0160314550013121,-0.00339012813900042,0.00190035945004923
24675,0.0400144230769231,0.0212575637362637,-0.0255077538461538,0.0161476274930517,-0.00340977212352255,0.00194066149068278
24676,0.0392969230769231,0.0186557637362637,-0.0183467538461538,0.0162642102764816,-0.00342944616801122,0.00198120818482779
24677,0.0371444230769231,0.0160539637362637,-0.0140501538461538,0.0163812013624591,-0.00344915011701157,0.002021998350317
24678,0.0342744230769231,0.0108503637362637,-0.0111857538461538,0.0164985988856401,-0.00346888369393409,0.0020630306872185
24679,0.0321219230769231,0.00564676373626374,-0.00545695384615385,0.0166164010936731,-0.00348864651981474,0.00210430380382446
24680,0.0299694230769231,-0.000857736263736264,0.00170404615384615,0.0167346063336659,-0.00350843813791536,0.00214581624115472
24681,0.0285344230769231,-0.00215863626373626,0.00313624615384615,0.0168532130388971,-0.00352825804191801,0.00218756650042675
24682,0.0263819230769231,-0.00606133626373626,0.00313624615384615,0.0169722197170133,-0.00354810570142354,0.00222955306854576
24683,0.0263819230769231,-0.00215863626373626,0.00456844615384615,0.0170916249397093,-0.00356798057936333,0.00227177443320684
24684,0.0249469230769231,-0.00476043626373626,0.00313624615384615,0.0172114273343895,-0.00358788213952708,0.00231422908859824
24685,0.0235119230769231,-0.00476043626373626,0.00600064615384615,0.0173316255775615,-0.00360780984780077,0.00235691553764109
24686,0.0242294230769231,-0.00606133626373626,0.00456844615384615,0.017452218388722,-0.00362776317385377,0.00239983229422788
24687,0.0270994230769231,-0.00476043626373626,0.00456844615384615,0.0175732045267202,-0.00364774159462277,0.00244297788545962
24688,0.0242294230769231,-0.00476043626373626,0.00313624615384615,0.017694582791073,-0.00366774459599864,0.00248635085140869
24689,0.0249469230769231,-0.00606133626373626,0.00170404615384615,0.0178163520240226,-0.00368777167226675,0.00252994974141822
24690,0.0235119230769231,-0.00476043626373626,0.000271846153846154,0.0179385111086265,-0.00370782232599644,0.00257377310792712
24691,0.0263819230769231,-0.00215863626373626,0.00170404615384615,0.0180610589656072,-0.00372789606748112,0.00261781949979935
24692,0.0227944230769231,-0.00345953626373626,-0.00116035384615385,0.0181839945524291,-0.00374799241058408,0.00266208745763025
24693,0.0249469230769231,0.000443163736263736,-0.00259255384615385,0.0183073168626214,-0.00376811086633794,0.00270657550954637
24694,0.0270994230769231,0.00304496373626374,-0.00832135384615385,0.0184310249248513,-0.00378825093519613,0.0027512821625525
24695,0.0292519230769231,0.00434586373626374,-0.0126179538461538,0.0185551178064547,-0.00380841209569015,0.00279620588645851
24696,0.0321219230769231,0.00694766373626374,-0.0111857538461538,0.0186795946229118,-0.00382859379128972,0.0028413450933534
24697,0.0364269230769231,0.0108503637362637,-0.0169145538461538,0.01880445455079,-0.00384879541771198,0.00288669812004589
24698,0.0371444230769231,0.0121512637362637,-0.0197789538461538,0.0189296968429143,-0.00386901630888289,0.00293226321396601
24699,0.0414494230769231,0.0160539637362637,-0.0240755538461538,0.0190553208437834,-0.00388925572155065,0.00297803851609788
24700,0.0421669230769231,0.0173548637362637,-0.0269399538461538,0.0191813260034974,-0.00390951282034835,0.00302402204044906
24701,0.0457544230769231,0.0212575637362637,-0.0283721538461538,0.0193077118906915,-0.00392978666330569,0.00307021165450802
24702,0.0479069230769231,0.0225584637362637,-0.0269399538461538,0.0194344782052206,-0.00395007618736071,0.00311660506464641
24703,0.0479069230769231,0.0212575637362637,-0.0283721538461538,0.0195616247903458,-0.00397038019566839,0.00316319980893941
24704,0.0471894230769231,0.0186557637362637,-0.0240755538461538,0.0196891516414495,-0.00399069735164813,0.00320999325641473
24705,0.0407319230769231,0.0134521637362637,-0.0212111538461538,0.0198170589063245,-0.00401102618381346,0.00325698261223586
24706,0.0342744230769231,0.00434586373626374,-0.00832135384615385,0.0199453468725752,-0.00403136510273175,0.00330416493327092
24707,0.0242294230769231,-0.00606133626373626,0.00313624615384615,0.0200740159401502,-0.004051712431911,0.00335153716097164
24708,0.0120319230769231,-0.0177694362637363,0.0131616461538462,0.020203066579996,-0.00407206645306291,0.00339909617255178
24709,0.00126942307692308,-0.0216721362637363,0.0231870461538462,0.0203324992808156,-0.00409242545945277,0.0034468388405727
24710,-0.00734057692307692,-0.0307784362637363,0.0289158461538462,0.0204623144891342,-0.00411278780610428,0.00349476208956039
24711,-0.0123630769230769,-0.0359820362637363,0.0317802461538462,0.0205925125523365,-0.00413315195191781,0.00354286294322385
24712,-0.0152330769230769,-0.0372829362637363,0.0317802461538462,0.0207230936730999,-0.00415351649549883,0.00359113855732895
24713,-0.0159505769230769,-0.0372829362637363,0.0289158461538462,0.0208540578784454,-0.00417388020155188,0.00363958623575466
