"Sweep","GRF0SumVN","GRF0SumMLN","GRF0SumHzN","FilterVN","FilterMLN","FilterHzN"
31883,0.0276118653346653,-0.0240414107892108,0.0244822065934066,0.0565743418127706,-0.00301618934457697,-0.00629452490473992
31884,0.0305190653346653,-0.0226773107892108,0.0244822065934066,0.0568376008612174,-0.00306976589278094,-0.00633422955991097
31885,0.0348798653346653,-0.0185850107892108,0.0216186065934066,0.0571016924713631,-0.00312384723797995,-0.006374264843855
31886,0.0443282653346653,-0.0131286107892108,0.0173232065934066,0.05736661438625,-0.00317843577773671,-0.0064146308292289
31887,0.0501426653346653,-0.00494401078921079,0.0087324065934066,0.0576323642359186,-0.00323353399033322,-0.00645532743945155
31888,0.0632250653346653,0.00733288921078921,-0.00129019340659341,0.0578989395751005,-0.00328914440149289,-0.00649635447666553
31889,0.0726734653346653,0.0196097892107892,-0.0084491934065934,0.0581663379296897,-0.00334526953696731,-0.00653771166255306
31890,0.0799414653346653,0.0264302892107892,-0.0170399934065934,0.0584345568492351,-0.00340191186428508,-0.00657939868508381
31891,0.0843022653346653,0.0359789892107892,-0.0213353934065934,0.0587035939566662,-0.00345907373449779,-0.00662141524328305
31892,0.0857558653346653,0.0373430892107892,-0.0227671934065934,0.0589734469859671,-0.00351675733287389,-0.00666376108458081
31893,0.0857558653346653,0.0414353892107892,-0.0227671934065934,0.0592441138050364,-0.0035749646418379,-0.00670643602979769
31894,0.0843022653346653,0.0373430892107892,-0.0227671934065934,0.0595155924252405,-0.00363369741803949,-0.00674943998477807
31895,0.0828486653346653,0.0359789892107892,-0.0199035934065934,0.0597878810009216,-0.00369295718449434,-0.00679277294262665
31896,0.0792146653346653,0.0346148892107892,-0.0170399934065934,0.0600609778221251,-0.00375274523497061,-0.00683643497902063
31897,0.0770342653346653,0.0305225892107892,-0.0127445934065934,0.0603348813023016,-0.00381306264402531,-0.00688042624059749
31898,0.0748538653346653,0.0277943892107892,-0.0084491934065934,0.0606095899629935,-0.00387391027939341,-0.00692474692740733
