"Sweep","GRF0SumVN","GRF0SumMLN","GRF0SumHzN","FilterVN","FilterMLN","FilterHzN"
26152,0.0429029430569431,-0.0598087258741259,0.0757500095904096,0.0780943563078898,-0.0230169256603814,0.0271732963383113
26153,0.0470909430569431,-0.0515929258741259,0.0666996095904096,0.0781395494358372,-0.0230317595738839,0.0272159421471522
26154,0.056164943056943,-0.0406385258741259,0.0516156095904096,0.0781846905499502,-0.0230466235413968,0.0272584390740285
26155,0.0666349430569431,-0.0283148258741259,0.0335148095904096,0.0782297761854243,-0.0230615175789697,0.0273007876746471
26156,0.0771049430569431,-0.0146218258741259,0.0154140095904096,0.0782748027603639,-0.0230764417956013,0.0273429886309676
26157,0.0924609430569431,-0.00229812587412587,-0.00117839040959041,0.078319766630975,-0.0230913963264805,0.0273850426587647
26158,0.102232943056943,0.00865627412587413,-0.0117371904095904,0.0783646641551955,-0.0231063812629168,0.027426950413109
26159,0.109212943056943,0.0168720741258741,-0.0192791904095904,0.0784094917582537,-0.0231213965855812,0.0274687124053071
26160,0.112702943056943,0.0209799741258741,-0.0207875904095904,0.0784542459883452,-0.0231364421072045,0.0275103289406807
26161,0.113400943056943,0.0209799741258741,-0.0253127904095904,0.0784989235547117,-0.0231515174304073,0.0275518000787461
26162,0.117588943056943,0.0209799741258741,-0.0238043904095904,0.0785435213500532,-0.023166621923973,0.027593125610063
26163,0.116192943056943,0.0209799741258741,-0.0222959904095904,0.0785880364642618,-0.0231817547142525,0.0276343050445459
26164,0.114796943056943,0.0155027741258741,-0.0162623904095904,0.0786324661926124,-0.0231969146855536,0.0276753376117557
26165,0.110608943056943,0.0168720741258741,-0.0162623904095904,0.0786768080352757,-0.0232121004871506,0.0277162222726543
26166,0.105024943056943,0.00728697412587413,-0.0132455904095904,0.078721059685984,-0.0232273105459683,0.0277569577355257
26167,0.102232943056943,0.00591767412587412,-0.00721199040959041,0.0787652190120202,-0.023242543084941,0.0277975424708575
26168,0.098044943056943,0.00180977412587413,-0.00117839040959041,0.0788092840308321,-0.0232577961460993,0.0278379747298684
26169,0.0924609430569431,-0.00503672587412587,0.00485520959040959,0.0788532528871293,-0.0232730676141306,0.0278782525713723
26170,0.0889709430569431,-0.00914462587412587,0.00485520959040959,0.0788971238292583,-0.0232883552408842,0.0279183738917683
26171,0.0868769430569431,-0.0118832258741259,0.00787200959040959,0.0789408951850945,-0.0233036566722419,0.0279583364487804
26172,0.082688943056943,-0.0146218258741259,0.00787200959040959,0.0789845653410697,-0.0233189694721504,0.0279981378758217
26173,0.0812929430569431,-0.0146218258741259,0.00938040959040959,0.0790281327245746,-0.0233342911400334,0.0280377756906293
26174,0.0819909430569431,-0.0173604258741259,0.0123972095904096,0.0790715957892541,-0.0233496191225291,0.0280772473023374
26175,0.0819909430569431,-0.0187297258741259,0.0139056095904096,0.0791149530063298,-0.0233649508223906,0.0281165500201136
26176,0.0833869430569431,-0.0187297258741259,0.0154140095904096,0.0791582028629138,-0.0233802836069129,0.0281556810638808
26177,0.082688943056943,-0.0187297258741259,0.0154140095904096,0.079201343863938,-0.0233956148144683,0.0281946375739967
26178,0.0833869430569431,-0.0200990258741259,0.0169224095904096,0.0792443745343262,-0.0234109417577326,0.0282334166178103
26179,0.0833869430569431,-0.0228376258741259,0.0169224095904096,0.079287293420202,-0.02342626172691,0.0282720151941346
26180,0.0861789430569431,-0.0228376258741259,0.0184308095904096,0.079330099090579,-0.0234415719962687,0.0283104302371998
26181,0.087574943056943,-0.0228376258741259,0.0184308095904096,0.0793727901421862,-0.0234568698316232,0.0283486586206075
26182,0.0903669430569431,-0.0228376258741259,0.0184308095904096,0.0794153652081504,-0.0234721524945046,0.0283866971607646
26183,0.0917629430569431,-0.0228376258741259,0.0154140095904096,0.0794578229688485,-0.0234874172430227,0.0284245426177143
26184,0.097346943056943,-0.0187297258741259,0.0123972095904096,0.0795001621642071,-0.0235026613303624,0.0284621916902373
26185,0.100138943056943,-0.0132525258741259,0.00787200959040959,0.0795423816093774,-0.0235178819971335,0.0284996410036616
26186,0.105722943056943,-0.00777532587412588,0.00033000959040959,0.0795844802147495,-0.0235330764533168,0.0285368870903805
26187,0.110608943056943,-0.00503672587412587,-0.00117839040959041,0.0796264570091015,-0.0235482418526442,0.0285739263641204
26188,0.112702943056943,-0.000928825874125877,-0.00570359040959041,0.0796683111641949,-0.023563375266979,0.0286107550931679
26189,0.116890943056943,0.00454837412587412,-0.00872039040959041,0.079710042017684,-0.0235784736635337,0.0286473693777657
26190,0.120380943056943,0.00865627412587413,-0.0132455904095904,0.079751649092892,-0.0235935338816152,0.0286837651301137
26191,0.118286943056943,0.0141334741258741,-0.0177707904095904,0.0797931321159359,-0.0236085526070055,0.0287199380533305
26192,0.119682943056943,0.0127641741258741,-0.0207875904095904,0.0798344910268263,-0.0236235263472884,0.0287558836188518
26193,0.119682943056943,0.0155027741258741,-0.0162623904095904,0.079875725983095,-0.0236384514137973,0.0287915970469572
26194,0.115494943056943,0.0113948741258741,-0.0117371904095904,0.0799168373593254,-0.02365332391302,0.02882707330032
26195,0.109212943056943,0.00591767412587412,-0.00117839040959041,0.079957825740175,-0.0236681397484084,0.0288623070973541
26196,0.0994409430569431,-0.00503672587412587,0.0108888095904096,0.0799986918999003,-0.0236828946368468,0.028897292945357
26197,0.087574943056943,-0.0200990258741259,0.0304980095904096,0.0800394367657307,-0.0236975841449825,0.028932025193449
26198,0.0743129430569431,-0.0351613258741259,0.0501072095904096,0.0800800613662993,-0.0237122037468356,0.0289664981073928
26199,0.061748943056943,-0.0488543258741259,0.0651912095904096,0.0801205667685025,-0.0237267488974885,0.0290007059626468
26200,0.0533729430569431,-0.0598087258741259,0.0742416095904096,0.0801609540097808,-0.0237412151115033,0.0290346431400237
26201,0.048486943056943,-0.0652859258741259,0.0787668095904096,0.0802012240361862,-0.0237555980342472,0.0290683042046822
26202,0.0477889430569431,-0.0680245258741259,0.0848004095904096,0.0802413776558761,-0.02376989349714,0.0291016839606362
26203,0.0470909430569431,-0.0639166258741259,0.0863088095904096,0.0802814155116526,-0.0237840975511494,0.0291347774865122
26204,0.0505809430569431,-0.0611780258741259,0.0848004095904096,0.0803213380698928,-0.0237982064771155,0.0291675801588065
26205,0.049882943056943,-0.0611780258741259,0.0832920095904096,0.0803611456208097,-0.0238122167790518,0.0292000876621209
