"Sweep","GRF0SumVN","GRF0SumMLN","GRF0SumHzN","FilterVN","FilterMLN","FilterHzN"
30398,0.179267664335664,0.0172674961038961,-0.0345731424575424,0.150580963712310,-0.0265809047398887,-0.00562255105543543
30399,0.176417264335664,0.0132945961038961,-0.0318779424575425,0.151148727398867,-0.0267550047208940,-0.00558358918791938
30400,0.172854264335664,0.0066730961038961,-0.0264875424575425,0.151716480480384,-0.0269293825472639,-0.00554466450909553
30401,0.171429064335664,0.0027001961038961,-0.0224447424575425,0.152284200895491,-0.0271040290397677,-0.00550578154879203
30402,0.169291264335664,-0.00127270389610389,-0.0170543424575424,0.152851866703553,-0.0272789348289277,-0.00546694495395417
30403,0.169291264335664,-0.0052456038961039,-0.0130115424575425,0.153419456069723,-0.0274540903796661,-0.00542815946326275
30404,0.168578664335664,-0.0092185038961039,-0.0103163424575425,0.153986947253926,-0.0276294860132055,-0.00538942988221761
30405,0.167866064335664,-0.0118671038961039,-0.00762114245754245,0.154554318603053,-0.0278051119275959,-0.0053507610614786
30406,0.168578664335664,-0.0145157038961039,-0.00762114245754245,0.155121548544865,-0.0279809582164121,-0.00531215788032548
30407,0.170716464335664,-0.0158400038961039,-0.00357834245754245,0.155688615584126,-0.0281570148842469,-0.00527362523477149
30408,0.170716464335664,-0.0184886038961039,0.000464457542457546,0.156255498302665,-0.0283332718590028,-0.00523516802614185
30409,0.170716464335664,-0.0211372038961039,0.000464457542457546,0.156822175361412,-0.0285097190028103,-0.00519679114639419
30410,0.169291264335664,-0.0198129038961039,0.00315965754245755,0.157388625499970,-0.0286863461224872,-0.00515849946343856
30411,0.171429064335664,-0.0184886038961039,0.00315965754245755,0.157954827532995,-0.0288631429758814,-0.00512029781064547
30412,0.172854264335664,-0.0171643038961039,0.00450725754245755,0.158520760347557,-0.0290400992704377,-0.00508219097961124
30413,0.175704664335664,-0.0198129038961039,0.00450725754245755,0.159086402905425,-0.0292172046576473,-0.0050441837147844
